case,version,n,median_ns,min_ns,max_ns,median_B,median_allocs
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=true,baseline,6,60411.0,59786.0,61265.0,24.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=true,optimized,6,19091.0,19028.0,19143.0,24.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=false,baseline,6,208766.5,201846.0,211152.0,25.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=false,optimized,6,22771.5,22566.0,22928.0,24.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=true,baseline,6,218564.0,201618.0,221313.0,27.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=32/mixed=true,optimized,6,25013.0,24938.0,25208.0,24.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=false,baseline,6,218283.0,217314.0,222277.0,27.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=false,optimized,6,214655.5,214185.0,216984.0,27.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=true,baseline,6,226718.0,215011.0,229452.0,27.0,1.0
BenchmarkGCStructCardCollectMinor/moving=true/ranges=33/mixed=true,optimized,6,227262.5,225330.0,229804.0,27.0,1.0
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=1,baseline,6,210.85,210.0,213.1,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=1,optimized,6,211.5,210.8,212.1,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=2,baseline,6,458.15,449.1,465.1,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=256/ranges=2,optimized,6,457.6,452.2,470.4,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=1,baseline,6,3776.0,3755.0,3816.0,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=1,optimized,6,3789.0,3761.0,3811.0,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=2,baseline,6,8999.0,8811.0,9111.0,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=2,optimized,6,8901.0,8694.0,9109.0,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=8,baseline,6,35955.5,35346.0,36252.0,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=8,optimized,6,35441.5,34907.0,36474.0,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=15,baseline,6,67628.5,63841.0,69162.0,0.0,0.0
BenchmarkGCStructCardScanMixedParent/fields=8192/ranges=15,optimized,6,65679.5,64255.0,68433.0,0.0,0.0
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=false,baseline,6,45.315,45.12,45.99,0.0,0.0
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=false,optimized,6,45.655,45.3,46.18,0.0,0.0
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=true,baseline,6,45.254999999999995,45.15,45.65,0.0,0.0
BenchmarkGCStructCardScan/fields=8/ranges=1/unordered=true,optimized,6,45.605000000000004,45.54,46.8,0.0,0.0
