bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
signals,BenchmarkExec/isa_cvt.f64_convert_u,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.f32_convert_s,wago,ns/op,89777.5,91016.5,1.380078527470685,0.13203463203463203,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.f32_convert_s,wago,calls/batch,23,23,0,0.8636363636363636,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.f32_convert_s,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.f32_convert_s,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.f32_convert_s,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.f32_convert_s,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.promote_demote,wago,ns/op,131866,132165.5,0.227124505179499,0.8181818181818182,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.promote_demote,wago,calls/batch,16,15.5,-3.125,0.6320346320346321,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.promote_demote,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.promote_demote,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.promote_demote,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.promote_demote,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f32,wago,ns/op,55177,54380,-1.4444424307229475,0.48484848484848486,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f32,wago,calls/batch,36.5,37,1.3698630136986356,0.48268398268398266,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f32,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f32,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f32,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f32,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f64,wago,ns/op,61097.5,61820.5,1.1833544744056734,0.025974025974025976,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f64,wago,calls/batch,33,33,0,1,6,6,reported,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f64,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f64,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f64,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_cvt.reinterpret_f64,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.not,wago,ns/op,1258,1248.5,-0.7551669316375187,0.8181818181818182,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.not,wago,calls/batch,1613.5,1603,-0.6507592190889366,0.2554112554112554,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.not,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.not,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.not,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.not,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.and,wago,ns/op,1785,1754,-1.7366946778711534,0.5887445887445888,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.and,wago,calls/batch,1135.5,1118,-1.541171290180532,0.7294372294372294,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.and,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.and,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.and,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.and,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.andnot,wago,ns/op,1792,1796.5,0.25111607142858094,0.8181818181818182,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.andnot,wago,calls/batch,1122.5,1161.5,3.4743875278396397,0.36796536796536794,6,6,reported,paired
signals,BenchmarkExec/isa_simd_v128.andnot,wago,B/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.andnot,wago,allocs/op,0,0,0,1,6,6,raw per batch; use per-call metric,paired
signals,BenchmarkExec/isa_simd_v128.andnot,wago,B/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.andnot,wago,allocs/call,0,0,0,1,6,6,derived per sample from calls/batch,paired
signals,BenchmarkExec/isa_simd_v128.or,wago,ns/op,1777.5,1761.5,-0.9001406469760886,0.6991341991341992,6,6,reported,paired
