run,bounds,benchmark,unit,main_median,after_median,change_percent,p,samples_each,benchtime,note
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,B/op,759152,796508,4.920753683056889,0.09307359307359307,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,allocs/op,555,611.5,10.180180180180187,0.015151515151515152,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,ns/op,7507635,4281300,-42.974052414641896,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,code-B,890004,890004,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,B/op,4381352,4364276,-0.38974270955631773,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p4,allocs/op,1508.5,1481.5,-1.7898574743122286,0.17965367965367965,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,ns/op,6710497.5,3305914.5,-50.735180215773866,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,code-B,890004,890004,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,B/op,5269820,5347384,1.4718529285630222,0.30952380952380953,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/lua/p8,allocs/op,2221.5,2208.5,-0.5851901868107134,0.4199134199134199,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,ns/op,251749628,172323362.5,-31.54970520949488,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,code-B,26622496,26622496,0,1,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,B/op,111822808,112767152,0.8445003455824551,0.015151515151515152,6,1x,"memory check, not a timing claim"
fixed-memory-explicit,explicit,BenchmarkCompileWorkers/esbuild/p2,allocs/op,13978.5,14602,4.46042136137641,0.8181818181818182,6,1x,"memory check, not a timing claim"
