bounds,label,group,sample,peak_rss_KiB
signals,base,BenchmarkInstantiate_wazero,5,19080
signals,base,BenchmarkExecFibLoop_wago,0,18440
signals,final,BenchmarkExecFibLoop_wago,0,16580
signals,final,BenchmarkExecFibLoop_wago,1,16368
signals,base,BenchmarkExecFibLoop_wago,1,16656
signals,base,BenchmarkExecFibLoop_wago,2,16392
signals,final,BenchmarkExecFibLoop_wago,2,16484
signals,final,BenchmarkExecFibLoop_wago,3,16452
signals,base,BenchmarkExecFibLoop_wago,3,16520
signals,base,BenchmarkExecFibLoop_wago,4,16296
signals,final,BenchmarkExecFibLoop_wago,4,16616
signals,final,BenchmarkExecFibLoop_wago,5,16300
signals,base,BenchmarkExecFibLoop_wago,5,16484
signals,base,BenchmarkExecFibLoop_wazero,0,19164
signals,final,BenchmarkExecFibLoop_wazero,0,19328
signals,final,BenchmarkExecFibLoop_wazero,1,19048
signals,base,BenchmarkExecFibLoop_wazero,1,18912
signals,base,BenchmarkExecFibLoop_wazero,2,19132
signals,final,BenchmarkExecFibLoop_wazero,2,18792
signals,final,BenchmarkExecFibLoop_wazero,3,19068
signals,base,BenchmarkExecFibLoop_wazero,3,19080
signals,base,BenchmarkExecFibLoop_wazero,4,18980
signals,final,BenchmarkExecFibLoop_wazero,4,19128
signals,final,BenchmarkExecFibLoop_wazero,5,18996
signals,base,BenchmarkExecFibLoop_wazero,5,19156
signals,base,BenchmarkExecFibRec_wago,0,16380
signals,final,BenchmarkExecFibRec_wago,0,14220
signals,final,BenchmarkExecFibRec_wago,1,16400
signals,base,BenchmarkExecFibRec_wago,1,16360
signals,base,BenchmarkExecFibRec_wago,2,16468
signals,final,BenchmarkExecFibRec_wago,2,16172
signals,final,BenchmarkExecFibRec_wago,3,16436
signals,base,BenchmarkExecFibRec_wago,3,16456
signals,base,BenchmarkExecFibRec_wago,4,16356
signals,final,BenchmarkExecFibRec_wago,4,16596
signals,final,BenchmarkExecFibRec_wago,5,16048
signals,base,BenchmarkExecFibRec_wago,5,16560
signals,base,BenchmarkExecFibRec_wazero,0,16508
signals,final,BenchmarkExecFibRec_wazero,0,14336
signals,final,BenchmarkExecFibRec_wazero,1,14288
signals,base,BenchmarkExecFibRec_wazero,1,14412
signals,base,BenchmarkExecFibRec_wazero,2,14248
signals,final,BenchmarkExecFibRec_wazero,2,14460
signals,final,BenchmarkExecFibRec_wazero,3,14712
signals,base,BenchmarkExecFibRec_wazero,3,14172
signals,base,BenchmarkExecFibRec_wazero,4,14392
signals,final,BenchmarkExecFibRec_wazero,4,14156
signals,final,BenchmarkExecFibRec_wazero,5,14140
signals,base,BenchmarkExecFibRec_wazero,5,14544
signals,base,BenchmarkExecCallOverhead_wago,0,16728
signals,final,BenchmarkExecCallOverhead_wago,0,16572
signals,final,BenchmarkExecCallOverhead_wago,1,16296
signals,base,BenchmarkExecCallOverhead_wago,1,16540
signals,base,BenchmarkExecCallOverhead_wago,2,16720
signals,final,BenchmarkExecCallOverhead_wago,2,16708
signals,final,BenchmarkExecCallOverhead_wago,3,18664
signals,base,BenchmarkExecCallOverhead_wago,3,16476
signals,base,BenchmarkExecCallOverhead_wago,4,16544
signals,final,BenchmarkExecCallOverhead_wago,4,16696
signals,final,BenchmarkExecCallOverhead_wago,5,16604
signals,base,BenchmarkExecCallOverhead_wago,5,16492
signals,base,BenchmarkExecCallOverhead_wazero,0,19408
signals,final,BenchmarkExecCallOverhead_wazero,0,18944
signals,final,BenchmarkExecCallOverhead_wazero,1,19052
signals,base,BenchmarkExecCallOverhead_wazero,1,18956
signals,base,BenchmarkExecCallOverhead_wazero,2,19184
signals,final,BenchmarkExecCallOverhead_wazero,2,18764
signals,final,BenchmarkExecCallOverhead_wazero,3,19108
signals,base,BenchmarkExecCallOverhead_wazero,3,19028
signals,base,BenchmarkExecCallOverhead_wazero,4,19120
signals,final,BenchmarkExecCallOverhead_wazero,4,19076
signals,final,BenchmarkExecCallOverhead_wazero,5,19308
signals,base,BenchmarkExecCallOverhead_wazero,5,18816
signals,base,BenchmarkExecHostRoundtrip_wago,0,22540
