run,bounds,benchmark,version,unit,main_median,after_median,absolute_change,change_percent,p,prior_PR_median,change_vs_prior_percent,p_vs_prior,samples_each,note
cold-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,code-B,3648553,3648553,0,0,1,3648553,0,1,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,B/op,14740772,14640936,-99836,-0.6772779607472357,0.8181818181818182,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,B/op,14740772,14322640,-418132,-2.836567854112393,0.06493506493506493,14640936,-2.1740140111260686,0.24025974025974026,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,allocs/op,8329,8322,-7,-0.08404370272542261,0.48484848484848486,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,allocs/op,8329,8409,80,0.9604994597190553,1,8322,1.0454217736121096,0.5541125541125541,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,ns/op,959240.5,789451.5,-169789,-17.700357730934,0.06493506493506493,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,ns/op,959240.5,871899.5,-87341,-9.10522439367395,0.30952380952380953,789451.5,10.443706801494447,0.3939393939393939,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,code-B,57638,57638,0,0,1,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,code-B,57638,57638,0,0,1,57638,0,1,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,B/op,751604,753656,2052,0.2730161095470418,0.9372294372294372,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,B/op,751604,736316,-15288,-2.034049845397312,0.30952380952380953,753656,-2.3007844427696433,0.30952380952380953,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,allocs/op,591.5,603,11.5,1.9442096365173356,0.8506493506493507,,,,6,"One timed operation; memory check, not a timing claim."
cold-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,allocs/op,591.5,580,-11.5,-1.9442096365173245,0.9372294372294372,603,-3.814262023217252,0.3939393939393939,6,"One timed operation; memory check, not a timing claim."
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,ns/op,413171787.5,197125958,-216045829.5,-52.28958898845435,0.0021645021645021645,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,ns/op,413171787.5,199811934,-213359853.5,-51.63950200738234,0.0021645021645021645,197125958,1.3625683939605837,0.13203463203463203,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,code-B,26629248,26629248,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,code-B,26629248,26629248,0,0,1,26629248,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,B/op,186244976,187455794,1210818,0.6501211608521462,0.24025974025974026,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,B/op,186244976,173322150,-12922826,-6.938617232821354,0.0021645021645021645,187455794,-7.5397210715183345,0.0021645021645021645,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,before,allocs/op,27284.5,27714,429.5,1.574153823599489,0.30952380952380953,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/esbuild/p4,final,allocs/op,27284.5,24085,-3199.5,-11.726438087558865,0.008658008658008658,27714,-13.094464891390633,0.0021645021645021645,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,ns/op,73433888.5,42704742.5,-30729146,-41.84600138667586,0.0021645021645021645,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,ns/op,73433888.5,42799458.5,-30634430,-41.71702006492547,0.0021645021645021645,42704742.5,0.22179269667765844,0.9372294372294372,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,code-B,3648553,3648553,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,code-B,3648553,3648553,0,0,1,3648553,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,B/op,14470026,14617619,147593,1.019991256408237,0.24025974025974026,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,B/op,14470026,14371797,-98229,-0.6788446682818639,0.24025974025974026,14617619,-1.6816829060875116,0.0021645021645021645,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,before,allocs/op,8343.5,8336,-7.5,-0.08989033379277478,0.8181818181818182,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileFullWorkers/sqlite3/p2,final,allocs/op,8343.5,8344,0.5,0.005992688919520539,0.8528138528138528,8336,0.09596928982724684,0.5887445887445888,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,before,ns/op,519559.5,341479.5,-178080,-34.275188885969754,0.0021645021645021645,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkCompileWorkers/json-as/p8,final,ns/op,519559.5,343415.5,-176144,-33.90256553869191,0.0021645021645021645,341479.5,0.5669447214254442,0.9372294372294372,6,250 ms requested timing; batched allocation counters need per-call interpretation.
