goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=true                	   25035	      9488 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=false               	   10000	     20398 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=true                	   12427	     19401 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=false               	    5448	     40772 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=true                	    6555	     38329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=false              	    3212	     76453 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=true               	    3262	     74225 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=false              	    2857	     81841 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=true               	    2889	     77733 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=false              	    1450	    163591 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=true               	    1560	    150536 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=false              	    1552	    154205 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=true               	    1554	    144633 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=1                     	 1000000	       217.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=256/ranges=2                     	  522102	       473.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=1                    	   61944	      3903 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=2                    	   26852	      8884 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=4                    	   12834	     18727 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=8                    	    6416	     37490 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=15                   	    3579	     67511 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=16                   	    3206	     73918 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=32                   	    1586	    152153 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanNearOrdered/fields=8192/ranges=33                   	    1528	    156087 ns/op	       0 B/op	       0 allocs/op
PASS
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScanControls/fields=255/ranges=15         	   62611	      3854 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=255/ranges=16         	   56856	      4125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=15         	   62282	      3871 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=256/ranges=16         	   58642	      4106 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=15         	   63516	      3770 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=257/ranges=16         	   59966	      4011 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=15        	    4237	     58043 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=16        	    3727	     62470 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=32        	    1105	    207971 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/fields=4097/ranges=33        	    1044	    219166 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=1               	 2263507	       106.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=15              	  166190	      1442 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=16              	  158983	      1537 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=32              	   78494	      3088 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScanControls/array/ranges=33              	   75736	      3176 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=false         	    3956	     57294 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=15/mixed=true          	    3722	     61474 ns/op	      61 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=false         	    3543	     62880 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=16/mixed=true          	    3486	     65882 ns/op	      64 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=false         	    1028	    224733 ns/op	      25 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=32/mixed=true          	    1038	    236322 ns/op	     161 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=false         	     957	    239604 ns/op	      27 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=false/ranges=33/mixed=true          	     968	    241048 ns/op	     171 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=false          	    3576	     60905 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=15/mixed=true           	    3258	     73739 ns/op	      24 B/op	       1 allocs/op
BenchmarkGCStructCardCollectMinor/moving=true/ranges=16/mixed=false          	    3579	     63157 ns/op	      24 B/op	       1 allocs/op
