File: before-signals.test
Build ID: 78aa917447782568e289d82f2cdd5c14c0b955b8
Type: cpu
Time: 2026-09-08 17:32:24 EDT
Duration: 1.50s, Total samples = 1.51s (100.96%)
Showing nodes accounting for 1.51s, 100% of 1.51s total
      flat  flat%   sum%        cum   cum%
     0.91s 60.26% 60.26%      0.91s 60.26%  runtime._ExternalCode
         0     0%   100%      0.24s 15.89%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).runBody
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).setLocal
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).spillLocalsForCall
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).storeFrameInt
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*fn).storeLocalReg
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.(*stack).pushValue
         0     0%   100%      0.41s 27.15%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.CompileModuleWith (inline)
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.buildInlineCallerPlan
         0     0%   100%      0.31s 20.53%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileFunc
         0     0%   100%      0.41s 27.15%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.compileModuleWith
         0     0%   100%      0.07s  4.64%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.computeModuleHintsWithWorkersPolicy
         0     0%   100%      0.06s  3.97%  github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64.scanBodyBytesIntoMemory64WithModuleCalls
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/core/compiler/wasm.(*Reader).I32
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).popExpect
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).stackEffect
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).stepDirectOp
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).subtype
         0     0%   100%      0.05s  3.31%  github.com/wago-org/wago/src/core/compiler/wasm.(*funcValidator).validateFuncDirect
         0     0%   100%      0.05s  3.31%  github.com/wago-org/wago/src/core/compiler/wasm.(*moduleValidator).validateFunction
         0     0%   100%      0.05s  3.31%  github.com/wago-org/wago/src/core/compiler/wasm.(*moduleValidator).validateFunctions
         0     0%   100%      0.05s  3.31%  github.com/wago-org/wago/src/core/compiler/wasm.(*moduleValidator).validateFunctionsSerial
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.ClassifyInstructionImmediateIntoWithFeatures (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.ClassifyInstructionImmediateIntoWithMemarg64
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.ModuleInstructionClassifier.ClassifyInto (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.SkipInstructionImmediate (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/compiler/wasm.SkipInstructionImmediateWithMemarg64 (inline)
         0     0%   100%      0.05s  3.31%  github.com/wago-org/wago/src/core/compiler/wasm.ValidateModuleWithAnalysis
         0     0%   100%      0.05s  3.31%  github.com/wago-org/wago/src/core/compiler/wasm.validateModuleWithWorkersFeaturesAndLimitsAnalysis
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/encoder/amd64.(*Asm).AluRI
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/encoder/amd64.(*Asm).Load32 (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/encoder/amd64.(*Asm).Load64 (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/encoder/amd64.(*Asm).PatchRel32 (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/encoder/amd64.(*Asm).Store32 (inline)
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/core/encoder/amd64.(*Asm).Store64 (inline)
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/core/runtime.(*CodeBuffer).AppendTail
         0     0%   100%      0.02s  1.32%  github.com/wago-org/wago/src/core/runtime.(*CodeBuffer).grow
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/runtime.(*Engine).CallWithHostBase
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/runtime.(*Engine).callWithHostLoop
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/runtime/gc/native.ValidateTypeDescs
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/core/runtime/gc/native.validateSuperRelations
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Compiled).validate
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Compiled).validateCached
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Compiled).validateCached.func1
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Instance).InvokeContext
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Instance).callNativeSyncWithTrapContext
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Instance).dispatchSynchronousHostCall
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Instance).invoke (inline)
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Instance).invokeEntry
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Instance).invokeWithToken
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Instance).newHostDispatch.func1
         0     0%   100%      0.46s 30.46%  github.com/wago-org/wago/src/wago.(*PreparedCompile).Compile
         0     0%   100%      0.47s 31.13%  github.com/wago-org/wago/src/wago.(*Runtime).Compile (inline)
         0     0%   100%      0.03s  1.99%  github.com/wago-org/wago/src/wago.(*Runtime).Instantiate (inline)
         0     0%   100%      0.05s  3.31%  github.com/wago-org/wago/src/wago.(*Runtime).LoadPlugins
         0     0%   100%      0.01s  0.66%  github.com/wago-org/wago/src/wago.(*Runtime).commitPluginPlan
         0     0%   100%      0.47s 31.13%  github.com/wago-org/wago/src/wago.(*Runtime).compile
