                                      │ docs/performance/setup-cleanup/continuation/workers-mode-1.txt │ docs/performance/setup-cleanup/continuation/workers-mode-2.txt │ docs/performance/setup-cleanup/continuation/workers-mode-4.txt │ docs/performance/setup-cleanup/continuation/workers-mode-auto.txt │
                                      │                             sec/op                             │                sec/op                  vs base                 │                sec/op                  vs base                 │                  sec/op                    vs base                │
Worker/lua/callers=4/full                                                                 2.165Mi ± 0%                            3.177Mi ± 0%   +46.72% (p=0.000 n=10)                            3.742Mi ± 0%   +72.79% (p=0.000 n=10)                             3.742Mi ± 0%   +72.80% (p=0.000 n=10)
Worker/lua/callers=16/full                                                                2.165Mi ± 0%                            3.175Mi ± 0%   +46.68% (p=0.000 n=10)                            3.746Mi ± 1%   +73.02% (p=0.000 n=10)                             3.725Mi ± 1%   +72.08% (p=0.000 n=10)
geomean                                                                                   47.30Ki                                 83.68Ki        +76.92%                                           101.7Ki       +115.06%                                            88.52Ki        +87.17%
¹ all samples are equal

                                      │ docs/performance/setup-cleanup/continuation/workers-mode-1.txt │ docs/performance/setup-cleanup/continuation/workers-mode-2.txt │ docs/performance/setup-cleanup/continuation/workers-mode-4.txt │ docs/performance/setup-cleanup/continuation/workers-mode-auto.txt │
                                      │                           allocs/op                            │               allocs/op                vs base                 │               allocs/op                vs base                 │               allocs/op                 vs base                   │
Worker/tiny/callers=1/validate                                                              11.00 ± 0%                              17.00 ± 0%   +54.55% (p=0.000 n=10)                              17.00 ± 0%   +54.55% (p=0.000 n=10)                               11.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/tiny/callers=1/backend                                                               21.00 ± 0%                              44.00 ± 0%  +109.52% (p=0.000 n=10)                              44.00 ± 0%  +109.52% (p=0.000 n=10)                               21.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/tiny/callers=4/validate                                                              11.00 ± 0%                              17.00 ± 0%   +54.55% (p=0.000 n=10)                              17.00 ± 0%   +54.55% (p=0.000 n=10)                               11.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/tiny/callers=4/backend                                                               21.00 ± 0%                              44.00 ± 0%  +109.52% (p=0.000 n=10)                              44.00 ± 0%  +109.52% (p=0.000 n=10)                               21.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/tiny/callers=16/validate                                                             11.00 ± 0%                              17.00 ± 0%   +54.55% (p=0.000 n=10)                              17.00 ± 0%   +54.55% (p=0.000 n=10)                               11.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/tiny/callers=16/backend                                                              21.00 ± 0%                              44.00 ± 0%  +109.52% (p=0.000 n=10)                              44.00 ± 0%  +109.52% (p=0.000 n=10)                               21.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/many_funcs/callers=1/validate                                                        11.00 ± 0%                              17.00 ± 0%   +54.55% (p=0.000 n=10)                              21.00 ± 0%   +90.91% (p=0.000 n=10)                               21.00 ± 0%   +90.91% (p=0.000 n=10)
Worker/many_funcs/callers=1/backend                                                         30.00 ± 0%                              56.00 ± 0%   +86.67% (p=0.000 n=10)                              82.00 ± 0%  +173.33% (p=0.000 n=10)                               82.00 ± 0%  +173.33% (p=0.000 n=10)
Worker/many_funcs/callers=4/validate                                                        11.00 ± 0%                              17.00 ± 0%   +54.55% (p=0.000 n=10)                              21.00 ± 0%   +90.91% (p=0.000 n=10)                               21.00 ± 0%   +90.91% (p=0.000 n=10)
Worker/many_funcs/callers=4/backend                                                         30.00 ± 0%                              56.00 ± 0%   +86.67% (p=0.000 n=10)                              82.00 ± 0%  +173.33% (p=0.000 n=10)                               82.00 ± 0%  +173.33% (p=0.000 n=10)
Worker/many_funcs/callers=16/validate                                                       11.00 ± 0%                              17.00 ± 0%   +54.55% (p=0.000 n=10)                              21.00 ± 0%   +90.91% (p=0.000 n=10)                               21.00 ± 0%   +90.91% (p=0.000 n=10)
Worker/many_funcs/callers=16/backend                                                        30.00 ± 0%                              56.00 ± 0%   +86.67% (p=0.000 n=10)                              81.50 ± 1%  +171.67% (p=0.000 n=10)                               82.00 ± 1%  +173.33% (p=0.000 n=10)
Worker/json-as/callers=1/validate                                                           48.00 ± 0%                              59.00 ± 0%   +22.92% (p=0.000 n=10)                              74.00 ± 0%   +54.17% (p=0.000 n=10)                               74.00 ± 1%   +54.17% (p=0.000 n=10)
Worker/json-as/callers=1/backend                                                            126.0 ± 0%                              230.0 ± 0%   +82.54% (p=0.000 n=10)                              363.0 ± 0%  +188.10% (p=0.000 n=10)                               363.0 ± 0%  +188.10% (p=0.000 n=10)
Worker/json-as/callers=4/validate                                                           48.00 ± 0%                              59.00 ± 0%   +22.92% (p=0.000 n=10)                              73.00 ± 1%   +52.08% (p=0.000 n=10)                               73.00 ± 1%   +52.08% (p=0.000 n=10)
Worker/json-as/callers=4/backend                                                            126.0 ± 0%                              230.0 ± 0%   +82.54% (p=0.000 n=10)                              362.0 ± 0%  +187.30% (p=0.000 n=10)                               362.0 ± 0%  +187.30% (p=0.000 n=10)
Worker/json-as/callers=16/validate                                                          48.00 ± 0%                              59.00 ± 0%   +22.92% (p=0.000 n=10)                              69.50 ± 1%   +44.79% (p=0.000 n=10)                               70.00 ± 1%   +45.83% (p=0.000 n=10)
Worker/json-as/callers=16/backend                                                           126.0 ± 0%                              227.0 ± 0%   +80.16% (p=0.000 n=10)                              348.0 ± 1%  +176.19% (p=0.000 n=10)                               348.0 ± 1%  +176.19% (p=0.000 n=10)
Worker/lua/callers=1/validate                                                               264.0 ± 0%                              279.0 ± 0%    +5.68% (p=0.000 n=10)                              300.0 ± 0%   +13.64% (p=0.000 n=10)                               300.0 ± 0%   +13.64% (p=0.000 n=10)
Worker/lua/callers=1/backend                                                                531.0 ± 0%                              796.0 ± 0%   +49.91% (p=0.000 n=10)                             1153.0 ± 0%  +117.14% (p=0.000 n=10)                              1152.0 ± 0%  +116.95% (p=0.000 n=10)
Worker/lua/callers=4/validate                                                               264.0 ± 0%                              279.0 ± 0%    +5.68% (p=0.000 n=10)                              300.0 ± 0%   +13.64% (p=0.000 n=10)                               300.0 ± 0%   +13.64% (p=0.000 n=10)
Worker/lua/callers=4/backend                                                                531.0 ± 0%                              794.0 ± 0%   +49.53% (p=0.000 n=10)                             1154.0 ± 0%  +117.33% (p=0.000 n=10)                              1153.5 ± 0%  +117.23% (p=0.000 n=10)
Worker/lua/callers=16/validate                                                              264.0 ± 0%                              279.0 ± 0%    +5.68% (p=0.000 n=10)                              297.0 ± 0%   +12.50% (p=0.000 n=10)                               297.0 ± 0%   +12.50% (p=0.000 n=10)
Worker/lua/callers=16/backend                                                               531.0 ± 0%                              782.5 ± 1%   +47.36% (p=0.000 n=10)                             1103.5 ± 1%  +107.82% (p=0.000 n=10)                              1099.5 ± 1%  +107.06% (p=0.000 n=10)
Worker/tiny/callers=1/full                                                                  99.00 ± 0%                             116.00 ± 0%   +17.17% (p=0.000 n=10)                             116.00 ± 0%   +17.17% (p=0.000 n=10)                               99.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/tiny/callers=4/full                                                                  99.00 ± 0%                             117.00 ± 0%   +18.18% (p=0.000 n=10)                             117.00 ± 0%   +18.18% (p=0.000 n=10)                               99.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/tiny/callers=16/full                                                                 99.00 ± 0%                             117.50 ± 0%   +18.69% (p=0.000 n=10)                             117.00 ± 1%   +18.18% (p=0.000 n=10)                               99.00 ± 0%         ~ (p=1.000 n=10) ¹
Worker/many_funcs/callers=1/full                                                            93.00 ± 0%                             125.00 ± 0%   +34.41% (p=0.000 n=10)                             157.00 ± 1%   +68.82% (p=0.000 n=10)                              157.00 ± 1%   +68.82% (p=0.000 n=10)
Worker/many_funcs/callers=4/full                                                            96.00 ± 1%                             129.00 ± 0%   +34.38% (p=0.000 n=10)                             159.00 ± 0%   +65.62% (p=0.000 n=10)                              159.00 ± 0%   +65.62% (p=0.000 n=10)
Worker/many_funcs/callers=16/full                                                           96.00 ± 0%                             128.00 ± 1%   +33.33% (p=0.000 n=10)                             158.00 ± 0%   +64.58% (p=0.000 n=10)                              157.50 ± 0%   +64.06% (p=0.000 n=10)
Worker/json-as/callers=1/full                                                               407.0 ± 0%                              519.0 ± 0%   +27.52% (p=0.000 n=10)                              658.0 ± 0%   +61.67% (p=0.000 n=10)                               658.0 ± 0%   +61.67% (p=0.000 n=10)
Worker/json-as/callers=4/full                                                               413.0 ± 0%                              525.0 ± 0%   +27.12% (p=0.000 n=10)                              662.0 ± 0%   +60.29% (p=0.000 n=10)                               662.0 ± 0%   +60.29% (p=0.000 n=10)
Worker/json-as/callers=16/full                                                              412.0 ± 0%                              520.5 ± 0%   +26.33% (p=0.000 n=10)                              645.5 ± 0%   +56.67% (p=0.000 n=10)                               646.0 ± 0%   +56.80% (p=0.000 n=10)
Worker/lua/callers=1/full                                                                  1.534k ± 0%                             1.806k ± 0%   +17.66% (p=0.000 n=10)                             2.162k ± 0%   +40.86% (p=0.000 n=10)                              2.164k ± 0%   +41.02% (p=0.000 n=10)
Worker/lua/callers=4/full                                                                  1.535k ± 0%                             1.802k ± 0%   +17.43% (p=0.000 n=10)                             2.167k ± 0%   +41.17% (p=0.000 n=10)                              2.167k ± 0%   +41.21% (p=0.000 n=10)
Worker/lua/callers=16/full                                                                 1.534k ± 0%                             1.793k ± 0%   +16.85% (p=0.000 n=10)                             2.126k ± 1%   +38.55% (p=0.000 n=10)                              2.118k ± 1%   +37.99% (p=0.000 n=10)
geomean                                                                                     92.31                                   132.6        +43.68%                                             160.5        +73.89%                                              143.6        +55.54%
¹ all samples are equal
