# round 1
goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=16/validate/raw/requested=2-16        	  132789	       919.4 ns/op	         9.000 body-bytes	        16.00 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=16/validate/raw/requested=4-16        	  123036	       933.9 ns/op	         9.000 body-bytes	        16.00 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         2.000 validation-worker-limit	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=16/backend/raw/requested=0-16         	    9853	     10829 ns/op	         1.000 backend-worker-limit	         9.000 body-bytes	        16.00 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	    7896 B/op	      21 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=16/backend/raw/requested=1-16         	   10000	     10762 ns/op	         1.000 backend-worker-limit	         9.000 body-bytes	        16.00 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	    7896 B/op	      21 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=16/backend/raw/requested=2-16         	   23766	      5280 ns/op	         2.000 backend-worker-limit	         9.000 body-bytes	        16.00 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	   17162 B/op	      44 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/callers=16/backend/raw/requested=4-16         	   23270	      5119 ns/op	         2.000 backend-worker-limit	         9.000 body-bytes	        16.00 callers	         2.000 functions	        16.00 gomaxprocs	         6.000 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	   17161 B/op	      44 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/validate/raw/requested=0-16   	    4290	     29901 ns/op	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    1552 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/validate/raw/requested=1-16   	    4220	     28641 ns/op	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    1552 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/validate/raw/requested=2-16   	    4092	     27594 ns/op	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	    2568 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/validate/raw/requested=4-16   	    4590	     26284 ns/op	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	    4267 B/op	      21 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/backend/raw/requested=0-16    	     378	    299814 ns/op	         1.000 backend-worker-limit	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	   68824 B/op	      30 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/backend/raw/requested=1-16    	     400	    305845 ns/op	         1.000 backend-worker-limit	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	   68824 B/op	      30 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/backend/raw/requested=2-16    	     493	    242119 ns/op	         2.000 backend-worker-limit	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	  144409 B/op	      56 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=1/backend/raw/requested=4-16    	     561	    199522 ns/op	         4.000 backend-worker-limit	      2053 body-bytes	         1.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	  190692 B/op	      82 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/validate/raw/requested=0-16   	   14523	      7973 ns/op	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    1552 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/validate/raw/requested=1-16   	   14548	      7946 ns/op	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    1552 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/validate/raw/requested=2-16   	   14898	      8234 ns/op	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	    2568 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/validate/raw/requested=4-16   	   16021	      7681 ns/op	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	    4264 B/op	      21 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/backend/raw/requested=0-16    	    1122	    104505 ns/op	         1.000 backend-worker-limit	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	   68825 B/op	      30 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/backend/raw/requested=1-16    	    1020	    104580 ns/op	         1.000 backend-worker-limit	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	   68825 B/op	      30 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/backend/raw/requested=2-16    	    1078	    121244 ns/op	         2.000 backend-worker-limit	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	  144434 B/op	      56 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=4/backend/raw/requested=4-16    	    1003	    119259 ns/op	         4.000 backend-worker-limit	      2053 body-bytes	         4.000 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	  190883 B/op	      82 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/validate/raw/requested=0-16  	   21468	      5392 ns/op	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	         1.000 validation-worker-limit	    1552 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/validate/raw/requested=1-16  	   24910	      5234 ns/op	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	         1.000 validation-worker-limit	    1552 B/op	      11 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/validate/raw/requested=2-16  	   22864	      5538 ns/op	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         2.000 phase-input-workers	         2.000 requested-workers	         2.000 validation-worker-limit	    2568 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/validate/raw/requested=4-16  	   19640	      6182 ns/op	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         4.000 phase-input-workers	         4.000 requested-workers	         4.000 validation-worker-limit	    4265 B/op	      21 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/backend/raw/requested=0-16   	    1393	     77775 ns/op	         1.000 backend-worker-limit	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         0 phase-input-workers	         0 requested-workers	   68835 B/op	      30 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/callers=16/backend/raw/requested=1-16   	    1478	     78411 ns/op	         1.000 backend-worker-limit	      2053 body-bytes	        16.00 callers	       301.0 functions	        16.00 gomaxprocs	        17.00 largest-body-bytes	         1.000 phase-input-workers	         1.000 requested-workers	   68827 B/op	      30 allocs/op
