# sample 1
init crypto/fips140 @0.56 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @0.57 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/drbg @0.58 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/aes/gcm @0.58 ms, 0 ms clock, 400 bytes, 2 allocs
init crypto/sha256 @0.59 ms, 0 ms clock, 0 bytes, 0 allocs
init debug/dwarf @0.59 ms, 0.023 ms clock, 8032 bytes, 16 allocs
init encoding/json/jsontext @0.62 ms, 0.004 ms clock, 0 bytes, 0 allocs
init encoding/json/v2 @0.63 ms, 0.006 ms clock, 408 bytes, 15 allocs
init encoding/json @0.64 ms, 0.005 ms clock, 224 bytes, 2 allocs
init flag @0.65 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/tetratelabs/wazero/internal/platform @0.66 ms, 0.023 ms clock, 11064 bytes, 20 allocs
init github.com/wago-org/wago/internal/jsonstrict @0.69 ms, 0.004 ms clock, 48 bytes, 1 allocs
init github.com/wago-org/wago/src/core/compiler/wasm @0.71 ms, 0.015 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @0.73 ms, 0.003 ms clock, 48 bytes, 1 allocs
init internal/sysinfo @0.74 ms, 0 ms clock, 88 bytes, 2 allocs
init math/big @0.75 ms, 0.002 ms clock, 0 bytes, 0 allocs
init crypto/rand @0.76 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/runtime @0.76 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/core/compiler/backend/railshot/amd64 @0.77 ms, 0.053 ms clock, 15520 bytes, 114 allocs
init path/filepath @0.83 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/src/wago @0.83 ms, 0.001 ms clock, 112 bytes, 1 allocs
init go/parser @0.84 ms, 0.004 ms clock, 840 bytes, 9 allocs
init internal/fuzz @0.85 ms, 0.003 ms clock, 400 bytes, 7 allocs
init regexp/syntax @0.86 ms, 0.003 ms clock, 2344 bytes, 6 allocs
init regexp @0.87 ms, 0.002 ms clock, 0 bytes, 0 allocs
init testing @0.87 ms, 0.001 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/dns/dnsmessage @0.88 ms, 0.001 ms clock, 768 bytes, 6 allocs
init net/netip @0.89 ms, 0.014 ms clock, 728 bytes, 18 allocs
init net @0.91 ms, 0.007 ms clock, 1768 bytes, 23 allocs
init github.com/tetratelabs/wazero/internal/wasm @0.92 ms, 0.013 ms clock, 17200 bytes, 8 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/ssa @0.94 ms, 0.005 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo/backend/isa/amd64 @0.95 ms, 0.006 ms clock, 0 bytes, 0 allocs
init github.com/tetratelabs/wazero/internal/engine/wazevo @0.96 ms, 0.11 ms clock, 9216 bytes, 3 allocs
init github.com/tetratelabs/wazero/imports/wasi_snapshot_preview1 @1.0 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/wago-org/wago/bench/suite @1.0 ms, 3.0 ms clock, 4824 bytes, 33 allocs
init main @4.1 ms, 0 ms clock, 0 bytes, 0 allocs
testing: warning: no tests to run
PASS
# sample 2
