bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/matmul	allocs/op	62	62	0	1	6	6	paired
explicit	BenchmarkCompile/quicksort	ns/op	41925.5	35476.5	-15.382046725739706	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/quicksort	B/op	27514.5	27472	-0.15446400988570197	0.18181818181818182	6	6	paired
explicit	BenchmarkCompile/quicksort	allocs/op	67	67	0	1	6	6	paired
explicit	BenchmarkCompile/crc32	ns/op	24990	20998	-15.974389755902363	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/crc32	B/op	26047	26032	-0.05758820593542158	0.06060606060606061	6	6	paired
explicit	BenchmarkCompile/crc32	allocs/op	42	42	0	1	6	6	paired
explicit	BenchmarkCompile/sha256	ns/op	63899	53453	-16.34767367251444	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/sha256	B/op	63376	63376	0	1	6	6	paired
explicit	BenchmarkCompile/sha256	allocs/op	52	52	0	1	6	6	paired
explicit	BenchmarkCompile/raytrace	ns/op	178692.5	146636.5	-17.939197224281934	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/raytrace	B/op	130544	130544	0	1	6	6	paired
explicit	BenchmarkCompile/raytrace	allocs/op	92	92	0	1	6	6	paired
explicit	BenchmarkCompile/regexmatch	ns/op	38336377	32007928	-16.50768668098188	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/regexmatch	B/op	1387013	1385044	-0.14195973649850924	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/regexmatch	allocs/op	1951	1953	0.1025115325474113	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/wasm3	ns/op	10418536	8729606.5	-16.21081407214987	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/wasm3	B/op	453785	451168	-0.5767048271758668	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/wasm3	allocs/op	975	977	0.20512820512821328	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/json-as	ns/op	944155.5	810745.5	-14.130087681531279	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/json-as	B/op	133256	133800	0.4082367773308615	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/json-as	allocs/op	136	136	0	1	6	6	paired
explicit	BenchmarkCompile/blake-as	ns/op	297771	234603.5	-21.21344926134513	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake-as	B/op	131352	131152	-0.15226262257140855	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake-as	allocs/op	93	89	-4.3010752688172005	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as	ns/op	110584	90453	-18.20426101425161	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as	B/op	119440	119424	-0.01339584728734522	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as	allocs/op	69	69	0	1	6	6	paired
explicit	BenchmarkCompile/xjb-mulhi	ns/op	15196.5	12556	-17.37571151251933	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/xjb-mulhi	B/op	23648	12128	-48.714479025710425	0.0021645021645021645	6	6	paired
