stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,explicit,BenchmarkWazeroCompile/isa_simd_i16x8,wazero,time,ns/op,948107.5,958639.5,10532,1.1108444981186238,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/fib_rec.fib,wazero,time,ns/op,2025388.5,2035654.5,10266,0.5068657198359805,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/quicksort,wazero,time,ns/op,295590.5,305236.5,9646,3.2632983806989646,0.004329004329004329,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/fannkuch,wazero,time,ns/op,609293,617219,7926,1.3008519710549837,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_simd_f64x2,wazero,time,ns/op,550394.5,558217.5,7823,1.4213441449723696,0.04112554112554113,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/isa_i64,wazero,time,ns/op,618203,624296.5,6093.5,0.9856794612772779,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/qoi,wazero,time,ns/op,820375.5,826073.5,5698,0.6945599911260203,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/sha256,wazero,time,ns/op,391303,396587,5284,1.350360206796264,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_f32,wazero,time,ns/op,392320.5,397384,5063.5,1.2906539423761965,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_i64,wazero,time,ns/op,623529,628465,4936,0.7916231642794536,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/isa_call,wazero,time,ns/op,187739.5,192296,4556.5,2.427033202922124,0.09307359307359307,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/nbody,wazero,time,ns/op,357702.5,362152,4449.5,1.243910791789271,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/many_funcs,wazero,time,ns/op,1021151.5,1025545,4393.5,0.43024957609130166,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/lz4,wazero,time,ns/op,85569.5,89694,4124.5,4.820058548898842,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/swar-pack-parse,wazero,time,ns/op,82630,86547,3917,4.740409052402272,0.04112554112554113,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/zstd,wazero,time,ns/op,89391.5,92821.5,3430,3.8370538585883462,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
