stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,explicit,BenchmarkWazeroCompile/ruby,wazero,time,ns/op,5216625897,5262270219,45644322,0.8749778669436381,0.008658008658008658,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/esbuild,wazero,time,ns/op,3165120124,3192396287,27276163,0.8617733903106606,0.06493506493506493,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/regexmatch,wazero,time,ns/op,270010222,273488331.5,3478109.5,1.2881399356799106,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/sqlite3,wazero,time,ns/op,319942112.5,323324801,3382688.5,1.0572814168062994,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/lua,wazero,time,ns/op,75123553,78488248.5,3364695.5,4.4788822754429525,0.0021645021645021645,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/coremark.coremark_run,wazero,time,ns/op,51959230,54447902.5,2488672.5,4.789663934588706,0.6991341991341992,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkPluginExec/ruby,wago,time,ns/op,18632097,19142940.5,510843.5,2.741739161190493,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/wasm3,wazero,time,ns/op,42753225,43070527,317302,0.7421709122528153,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/zstd,wazero,time,ns/op,26571802.5,26813432,241629.5,0.9093455364949321,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/zlib,wazero,time,ns/op,6075940.5,6177880.5,101940,1.677764948488214,0.025974025974025976,true,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
