run,bounds,benchmark,unit,main,after,absolute_change,change_percent,p,samples_each
"full","signals","BenchmarkCompileFullWorkers/tiny/p2","allocs/op",101,105,4,3.960396039603964,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/tiny/p4","allocs/op",101,105,4,3.960396039603964,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/tiny/p8","allocs/op",101,105,4,3.960396039603964,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/sqlite3/p1","allocs/op",7888,7892,4,0.050709939148063654,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/ruby/auto","allocs/op",42090,42094,4,0.00950344499881517,0.9004329004329005,6
"fixed-memory","signals","BenchmarkCompileFullWorkers/sqlite3/p2","allocs/op",8251.5,8255.5,4,0.04847603466036077,0.8181818181818182,6
"full","explicit","BenchmarkCompileFull/regexmatch","allocs/op",5060.5,5064,3.5,0.06916312617331055,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/regexmatch","allocs/op",5060,5063,3,0.059288537549417875,0.0021645021645021645,6
"fixed-memory","signals","BenchmarkCompileWorkers/tiny/p2","allocs/op",44,47,3,6.818181818181812,0.0021645021645021645,6
"full","explicit","BenchmarkCompileMultiModuleThroughput/json-as/auto","allocs/op",506.5,509,2.5,0.49358341559724295,0.37445887445887444,6
"full","explicit","BenchmarkCompile/regexmatch","allocs/op",1951,1953,2,0.1025115325474113,0.0021645021645021645,6
"full","explicit","BenchmarkCompile/wasm3","allocs/op",975,977,2,0.20512820512821328,0.0021645021645021645,6
"full","explicit","BenchmarkCompile/zstd","allocs/op",231,233,2,0.8658008658008587,0.0021645021645021645,6
"full","explicit","BenchmarkCompile/sqlite3","allocs/op",2528,2530,2,0.07911392405062223,0.0021645021645021645,6
"full","explicit","BenchmarkCompileCompact/regexmatch","allocs/op",1947,1949,2,0.10272213662043672,0.0021645021645021645,6
"full","explicit","BenchmarkCompileCompact/wasm3","allocs/op",837,839,2,0.2389486260454099,0.0021645021645021645,6
"full","explicit","BenchmarkCompileCompact/zstd","allocs/op",228,230,2,0.8771929824561431,0.0021645021645021645,6
"full","explicit","BenchmarkCompileCompact/sqlite3","allocs/op",2150,2152,2,0.09302325581395099,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/tiny","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/fib_iter","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/fib_rec","allocs/op",83,85,2,2.4096385542168752,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/arith","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/float","allocs/op",79,81,2,2.5316455696202445,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/memory","allocs/op",90,92,2,2.2222222222222143,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/memory_tree","allocs/op",112,114,2,1.7857142857142794,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/globals","allocs/op",95,97,2,2.1052631578947434,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/dispatch","allocs/op",120,122,2,1.6666666666666607,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/branches","allocs/op",75,77,2,2.6666666666666616,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/many_funcs","allocs/op",84,86,2,2.3809523809523725,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/linked_list","allocs/op",90,92,2,2.2222222222222143,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/mandelbrot","allocs/op",94,96,2,2.127659574468077,0.0021645021645021645,6
"full","explicit","BenchmarkCompileFull/sieve","allocs/op",91,93,2,2.19780219780219,0.0021645021645021645,6
