bounds,benchmark,engine,unit,main_median,after_median,change_percent,p,main_samples,after_samples,measurement,status
explicit,BenchmarkCompile/fannkuch,wago,ns/op,83273.5,67761,-18.62837517337448,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fannkuch,wago,B/op,67089.5,66728,-0.5388324551531931,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/fannkuch,wago,allocs/op,66,66,0,1,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,ns/op,46543.5,38392,-17.513723720820305,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,B/op,61972.5,61632,-0.5494372503933143,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/matmul,wago,allocs/op,62,62,0,1,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,ns/op,41387,34720,-16.108923091792104,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,B/op,27686,27472,-0.7729538394856572,0.015151515151515152,6,6,reported,paired
explicit,BenchmarkCompile/quicksort,wago,allocs/op,67,67,0,1,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,ns/op,25203,20538.5,-18.50771733523787,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,B/op,26115,26032,-0.31782500478652054,0.015151515151515152,6,6,reported,paired
explicit,BenchmarkCompile/crc32,wago,allocs/op,42,42,0,1,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,ns/op,64770.5,52085,-19.58530503855922,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,B/op,63418.5,63376,-0.06701514542286624,0.06060606060606061,6,6,reported,paired
explicit,BenchmarkCompile/sha256,wago,allocs/op,52,52,0,1,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,ns/op,179535.5,144642.5,-19.435153493320268,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,B/op,130544,130544,0,1,6,6,reported,paired
explicit,BenchmarkCompile/raytrace,wago,allocs/op,92,92,0,1,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,ns/op,38477996,32638579,-15.175990454388533,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,B/op,1387013,1385044,-0.14195973649850924,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/regexmatch,wago,allocs/op,1951,1953,0.1025115325474113,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,ns/op,10543215,8693832,-17.540977775754364,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,B/op,453785,451168,-0.5767048271758668,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/wasm3,wago,allocs/op,975,977,0.20512820512821328,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,ns/op,943589.5,799832.5,-15.235120780805634,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,B/op,133256,133800,0.4082367773308615,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as,wago,allocs/op,136,136,0,1,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,ns/op,295462,237039,-19.773439562447958,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,B/op,131352,131152,-0.15226262257140855,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as,wago,allocs/op,93,89,-4.3010752688172005,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,ns/op,110558.5,89843,-18.73713916162032,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,B/op,119440,119424,-0.01339584728734522,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as,wago,allocs/op,69,69,0,1,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,ns/op,15133.5,12304.5,-18.693626722172663,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,B/op,23652.5,12128,-48.72423633865341,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/xjb-mulhi,wago,allocs/op,24,24,0,1,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,ns/op,15523,12982,-16.36925851961606,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,B/op,23600,12080,-48.813559322033896,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/swar-pack-parse,wago,allocs/op,23,23,0,1,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,ns/op,1052854.5,904254.5,-14.114011005319348,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,B/op,136976,137648,0.49059689288635244,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/json-as-simd,wago,allocs/op,152,152,0,1,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,ns/op,882610,743078,-15.809020971890186,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,B/op,273784,273936,0.05551821874179019,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake-as-simd,wago,allocs/op,114,113,-0.8771929824561431,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,ns/op,354552,291346.5,-17.826863196371757,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,B/op,125680,125576,-0.08274984086569237,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/utf-as-simd,wago,allocs/op,106,104,-1.8867924528301883,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/coremark,wago,ns/op,528001,435335.5,-17.55025085179763,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/coremark,wago,B/op,247240,247224,-0.006471444750044686,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/coremark,wago,allocs/op,102,102,0,1,6,6,reported,paired
explicit,BenchmarkCompile/blake3,wago,ns/op,839051,707487,-15.680095727196564,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake3,wago,B/op,136840,136808,-0.02338497515346205,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/blake3,wago,allocs/op,105,105,0,1,6,6,reported,paired
explicit,BenchmarkCompile/qoi,wago,ns/op,147479.5,115970,-21.36534230181144,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/qoi,wago,B/op,66320,66288,-0.04825090470446103,0.0021645021645021645,6,6,reported,paired
explicit,BenchmarkCompile/qoi,wago,allocs/op,97,97,0,1,6,6,reported,paired
explicit,BenchmarkCompile/lz4,wago,ns/op,112643.5,91548,-18.727667375392276,0.0021645021645021645,6,6,reported,paired
