bounds,label,group,sample,peak_rss_KiB
signals,base,BenchmarkInstantiate_wazero,5,18976
signals,base,BenchmarkExecFibLoop_wago,0,16592
signals,final,BenchmarkExecFibLoop_wago,0,16132
signals,final,BenchmarkExecFibLoop_wago,1,16180
signals,base,BenchmarkExecFibLoop_wago,1,16664
signals,base,BenchmarkExecFibLoop_wago,2,16492
signals,final,BenchmarkExecFibLoop_wago,2,16420
signals,final,BenchmarkExecFibLoop_wago,3,16356
signals,base,BenchmarkExecFibLoop_wago,3,16368
signals,base,BenchmarkExecFibLoop_wago,4,16752
signals,final,BenchmarkExecFibLoop_wago,4,16432
signals,final,BenchmarkExecFibLoop_wago,5,16400
signals,base,BenchmarkExecFibLoop_wago,5,18404
signals,base,BenchmarkExecFibLoop_wazero,0,18876
signals,final,BenchmarkExecFibLoop_wazero,0,19052
signals,final,BenchmarkExecFibLoop_wazero,1,18960
signals,base,BenchmarkExecFibLoop_wazero,1,16916
signals,base,BenchmarkExecFibLoop_wazero,2,19172
signals,final,BenchmarkExecFibLoop_wazero,2,21196
signals,final,BenchmarkExecFibLoop_wazero,3,18936
signals,base,BenchmarkExecFibLoop_wazero,3,19016
signals,base,BenchmarkExecFibLoop_wazero,4,21224
signals,final,BenchmarkExecFibLoop_wazero,4,18832
signals,final,BenchmarkExecFibLoop_wazero,5,19088
signals,base,BenchmarkExecFibLoop_wazero,5,18968
signals,base,BenchmarkExecFibRec_wago,0,14472
signals,final,BenchmarkExecFibRec_wago,0,16192
signals,final,BenchmarkExecFibRec_wago,1,16536
signals,base,BenchmarkExecFibRec_wago,1,16464
signals,base,BenchmarkExecFibRec_wago,2,16216
signals,final,BenchmarkExecFibRec_wago,2,16512
signals,final,BenchmarkExecFibRec_wago,3,16544
signals,base,BenchmarkExecFibRec_wago,3,16396
signals,base,BenchmarkExecFibRec_wago,4,16540
signals,final,BenchmarkExecFibRec_wago,4,16468
signals,final,BenchmarkExecFibRec_wago,5,14136
signals,base,BenchmarkExecFibRec_wago,5,18404
signals,base,BenchmarkExecFibRec_wazero,0,14620
signals,final,BenchmarkExecFibRec_wazero,0,14368
signals,final,BenchmarkExecFibRec_wazero,1,16420
signals,base,BenchmarkExecFibRec_wazero,1,14624
signals,base,BenchmarkExecFibRec_wazero,2,14692
signals,final,BenchmarkExecFibRec_wazero,2,14208
signals,final,BenchmarkExecFibRec_wazero,3,16440
signals,base,BenchmarkExecFibRec_wazero,3,14436
signals,base,BenchmarkExecFibRec_wazero,4,16688
signals,final,BenchmarkExecFibRec_wazero,4,12628
signals,final,BenchmarkExecFibRec_wazero,5,14788
signals,base,BenchmarkExecFibRec_wazero,5,16604
signals,base,BenchmarkExecCallOverhead_wago,0,16472
signals,final,BenchmarkExecCallOverhead_wago,0,16512
signals,final,BenchmarkExecCallOverhead_wago,1,16412
signals,base,BenchmarkExecCallOverhead_wago,1,16356
signals,base,BenchmarkExecCallOverhead_wago,2,16576
signals,final,BenchmarkExecCallOverhead_wago,2,16932
signals,final,BenchmarkExecCallOverhead_wago,3,16472
signals,base,BenchmarkExecCallOverhead_wago,3,16540
signals,base,BenchmarkExecCallOverhead_wago,4,16428
signals,final,BenchmarkExecCallOverhead_wago,4,16664
signals,final,BenchmarkExecCallOverhead_wago,5,16620
signals,base,BenchmarkExecCallOverhead_wago,5,16436
signals,base,BenchmarkExecCallOverhead_wazero,0,19252
signals,final,BenchmarkExecCallOverhead_wazero,0,19124
signals,final,BenchmarkExecCallOverhead_wazero,1,18932
signals,base,BenchmarkExecCallOverhead_wazero,1,19068
signals,base,BenchmarkExecCallOverhead_wazero,2,18932
signals,final,BenchmarkExecCallOverhead_wazero,2,18960
signals,final,BenchmarkExecCallOverhead_wazero,3,19460
signals,base,BenchmarkExecCallOverhead_wazero,3,19448
signals,base,BenchmarkExecCallOverhead_wazero,4,19008
signals,final,BenchmarkExecCallOverhead_wazero,4,19092
signals,final,BenchmarkExecCallOverhead_wazero,5,20848
signals,base,BenchmarkExecCallOverhead_wazero,5,19004
signals,base,BenchmarkExecHostRoundtrip_wago,0,22776
signals,final,BenchmarkExecHostRoundtrip_wago,0,22764
signals,final,BenchmarkExecHostRoundtrip_wago,1,22720
signals,base,BenchmarkExecHostRoundtrip_wago,1,22780
signals,base,BenchmarkExecHostRoundtrip_wago,2,22692
signals,final,BenchmarkExecHostRoundtrip_wago,2,22308
signals,final,BenchmarkExecHostRoundtrip_wago,3,22660
signals,base,BenchmarkExecHostRoundtrip_wago,3,22744
signals,base,BenchmarkExecHostRoundtrip_wago,4,24696
signals,final,BenchmarkExecHostRoundtrip_wago,4,22508
signals,final,BenchmarkExecHostRoundtrip_wago,5,22728
signals,base,BenchmarkExecHostRoundtrip_wago,5,22608
signals,base,BenchmarkExecHostRoundtrip_wazero,0,19116
signals,final,BenchmarkExecHostRoundtrip_wazero,0,21288
signals,final,BenchmarkExecHostRoundtrip_wazero,1,19460
signals,base,BenchmarkExecHostRoundtrip_wazero,1,19388
signals,base,BenchmarkExecHostRoundtrip_wazero,2,19324
signals,final,BenchmarkExecHostRoundtrip_wazero,2,20596
signals,final,BenchmarkExecHostRoundtrip_wazero,3,19084
signals,base,BenchmarkExecHostRoundtrip_wazero,3,18964
signals,base,BenchmarkExecHostRoundtrip_wazero,4,18872
signals,final,BenchmarkExecHostRoundtrip_wazero,4,19180
signals,final,BenchmarkExecHostRoundtrip_wazero,5,19212
signals,base,BenchmarkExecHostRoundtrip_wazero,5,19172
signals,base,BenchmarkExecGlobalGet_wago,0,19988
signals,final,BenchmarkExecGlobalGet_wago,0,18172
signals,final,BenchmarkExecGlobalGet_wago,1,18180
signals,base,BenchmarkExecGlobalGet_wago,1,18652
signals,base,BenchmarkExecGlobalGet_wago,2,17916
signals,final,BenchmarkExecGlobalGet_wago,2,17940
signals,final,BenchmarkExecGlobalGet_wago,3,18212
signals,base,BenchmarkExecGlobalGet_wago,3,16048
signals,base,BenchmarkExecGlobalGet_wago,4,17948
