bounds	benchmark	unit	main	fixed	delta_percent	p
explicit	BenchmarkCompileWorkers/lua/p8	allocs/op	2209.5	2311.5	4.616429056347582	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/sqlite3/auto	B/op	15798862	16511459	4.510432460262015	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p2	allocs/op	535	558	4.299065420560755	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/p2	allocs/op	547	570	4.20475319926874	0.0021645021645021645
explicit	BenchmarkCompileWorkers/lua/p4	allocs/op	1480	1540	4.054054054054057	0.0021645021645021645
signals	BenchmarkCompileWorkers/lua/p4	allocs/op	1480.5	1536.5	3.78250591016549	0.0021645021645021645
signals	BenchmarkCompileWorkers/sqlite3/p8	B/op	16862679	17485214	3.691791796546684	0.48484848484848486
explicit	BenchmarkCompileWorkers/esbuild/p4	allocs/op	18523	19155.5	3.4146736489769403	0.5887445887445888
signals	BenchmarkValidateWorkers/sqlite3/p2	B/op	144396	149095	3.254245269952083	0.24025974025974026
signals	BenchmarkValidateWorkers/ruby/p2	B/op	397196	409508	3.0997291009980055	0.21645021645021645
explicit	BenchmarkCompileWorkers/sqlite3/p8	B/op	16921517.5	17430787.5	3.009600055077799	0.3939393939393939
explicit	BenchmarkCompileFullWorkers/esbuild/p2	allocs/op	23221.5	23879.5	2.8335809486897956	1
explicit	BenchmarkValidateWorkers/esbuild/p8	B/op	5579933	5734699	2.7736175326836365	0.17965367965367965
signals	BenchmarkCompileFullWorkers/lua/p8	allocs/op	3994.5	4104.5	2.753786456377516	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p1	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/auto	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/p1	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/auto	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
explicit	BenchmarkCompileWorkers/sqlite3/p8	allocs/op	4492	4613.5	2.704808548530724	0.0021645021645021645
explicit	BenchmarkCompileFull/tiny	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
explicit	BenchmarkCompileFull/branches	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
signals	BenchmarkCompileFull/tiny	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
signals	BenchmarkCompileFull/branches	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
signals	BenchmarkCompileWorkers/sqlite3/p8	allocs/op	4498	4619	2.6900844819919945	0.0021645021645021645
explicit	BenchmarkCompileFull/fib_iter	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
explicit	BenchmarkCompileFull/arith	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
signals	BenchmarkCompileFull/fib_iter	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
signals	BenchmarkCompileFull/arith	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
