run,bounds,benchmark,unit,main_median,after_median,change_percent,p,main_samples,after_samples,prior_median,after_vs_prior_percent,p_vs_prior,benchtime,note
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/many_funcs,ns/op,349019,338895,-2.9007016809973085,0.3939393939393939,6,6,323666.5,4.704997273428058,0.30952380952380953,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/many_funcs,B/op,53224,52968,-0.48098602134375446,0.0021645021645021645,6,6,52968,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/many_funcs,allocs/op,39,39,0,1,6,6,39,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/linked_list,ns/op,47764.5,48846.5,2.2652807001015463,0.8181818181818182,6,6,44097.5,10.7693179885481,0.3939393939393939,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/linked_list,B/op,16816,14896,-11.41769743101808,0.0021645021645021645,6,6,14896,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/linked_list,allocs/op,38,38,0,1,6,6,38,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/mandelbrot,ns/op,59075.5,50539.5,-14.449306396052508,0.30952380952380953,6,6,44298,14.089800893945558,0.30952380952380953,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/mandelbrot,B/op,30256,22064,-27.07562136435748,0.0021645021645021645,6,6,22064,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/mandelbrot,allocs/op,58,58,0,1,6,6,58,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sieve,ns/op,56511,47253.5,-16.381766381766383,0.13203463203463203,6,6,47569,-0.6632470726733786,0.9372294372294372,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sieve,B/op,20928,17600,-15.902140672782872,0.0021645021645021645,6,6,17600,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sieve,allocs/op,39,39,0,1,6,6,39,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/nbody,ns/op,169191.5,116358.5,-31.226746024475226,0.13203463203463203,6,6,104906.5,10.9163874497767,0.13203463203463203,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/nbody,B/op,70000,70000,0,1,6,6,70000,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/nbody,allocs/op,89,89,0,1,6,6,89,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/spectralnorm,ns/op,121067,90840.5,-24.966753946162047,0.0021645021645021645,6,6,97086.5,-6.4334382226159175,0.17965367965367965,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/spectralnorm,B/op,63992,63992,0,1,6,6,63992,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/spectralnorm,allocs/op,81,81,0,1,6,6,81,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fannkuch,ns/op,167408.5,153828,-8.11219263060119,0.30952380952380953,6,6,135463.5,13.556788359964123,0.5887445887445888,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fannkuch,B/op,65776,65776,0,1,6,6,65776,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/fannkuch,allocs/op,68,68,0,1,6,6,68,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/matmul,ns/op,102627.5,89998.5,-12.305668558622207,0.24025974025974026,6,6,123161,-26.926137332434784,0.24025974025974026,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/matmul,B/op,63224,63224,0,1,6,6,63224,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/matmul,allocs/op,75,75,0,1,6,6,75,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/quicksort,ns/op,107170.5,91691.5,-14.443340284873173,0.30952380952380953,6,6,100558.5,-8.817752850330907,0.3939393939393939,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/quicksort,B/op,30024,30024,0,1,6,6,30024,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/quicksort,allocs/op,72,72,0,1,6,6,72,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/crc32,ns/op,71253.5,77690.5,9.033942192313372,0.9372294372294372,6,6,68098,14.086316778760022,0.30952380952380953,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/crc32,B/op,28592,28592,0,1,6,6,28592,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/crc32,allocs/op,47,47,0,1,6,6,47,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sha256,ns/op,114409.5,126297,10.390308497109068,0.3939393939393939,6,6,133836,-5.6330135389581315,0.6991341991341992,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sha256,B/op,62808,62808,0,1,6,6,62808,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/sha256,allocs/op,54,54,0,1,6,6,54,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/raytrace,ns/op,259276,218169.5,-15.854340548296019,0.025974025974025976,6,6,248210,-12.102856452197742,0.24025974025974026,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/raytrace,B/op,140928,140928,0,1,6,6,140928,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/raytrace,allocs/op,116,116,0,1,6,6,116,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/regexmatch,ns/op,47840650.5,39989517.5,-16.411008040118514,0.0021645021645021645,6,6,39684098.5,0.7696256474113872,0.6991341991341992,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/regexmatch,B/op,1339464,1337496,-0.14692444141836125,0.0021645021645021645,6,6,1337496,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/regexmatch,allocs/op,1940,1942,0.10309278350515427,0.0021645021645021645,6,6,1942,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/wasm3,ns/op,12271321,10380985,-15.404502905595896,0.0021645021645021645,6,6,10542986.5,-1.5365807401915954,0.48484848484848486,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/wasm3,B/op,470864,468232,-0.5589724421488973,0.0021645021645021645,6,6,468232,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/wasm3,allocs/op,831,833,0.24067388688326918,0.0021645021645021645,6,6,833,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/json-as,ns/op,1320044,1231602.5,-6.699890306686751,0.06493506493506493,6,6,1324952.5,-7.045535594672259,0.24025974025974026,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/json-as,B/op,136240,136784,0.39929536112741637,0.0021645021645021645,6,6,136784,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/json-as,allocs/op,148,148,0,1,6,6,148,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake-as,ns/op,391644,283887,-27.514017832521375,0.025974025974025976,6,6,295844.5,-4.041819266540358,0.6991341991341992,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake-as,B/op,122376,122176,-0.16343073805321628,0.0021645021645021645,6,6,122176,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/blake-as,allocs/op,93,89,-4.3010752688172005,0.0021645021645021645,6,6,89,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/utf-as,ns/op,264184.5,232040,-12.167443585827332,0.025974025974025976,6,6,213049.5,8.913656216043698,0.48484848484848486,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/utf-as,B/op,121896,121880,-0.01312594342718354,0.0021645021645021645,6,6,121880,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/utf-as,allocs/op,72,72,0,1,6,6,72,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,ns/op,79508.5,78913,-0.7489765245225377,0.9372294372294372,6,6,54297,45.335838075768464,0.025974025974025976,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,B/op,28544,17024,-40.35874439461884,0.0021645021645021645,6,6,17024,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,allocs/op,31,31,0,1,6,6,31,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,ns/op,68208,69030,1.205137227304709,0.9372294372294372,6,6,62883,9.775296980105907,0.6991341991341992,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,B/op,26200,14680,-43.969465648854964,0.0021645021645021645,6,6,14680,0,1,1x,single-operation memory check; not a timing claim
compiler-fixed-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,allocs/op,28,28,0,1,6,6,28,0,1,1x,single-operation memory check; not a timing claim
