bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/quicksort	ns/op	63899	67294.5	5.313854676912011	0.6991341991341992	6	6	paired
explicit	BenchmarkCompile/quicksort	B/op	27424	27504	0.29171528588098905	0.08008658008658008	6	6	paired
explicit	BenchmarkCompile/quicksort	allocs/op	67	67	0	1	6	6	paired
explicit	BenchmarkCompile/crc32	ns/op	42276.5	40829.5	-3.4227052854422624	0.48484848484848486	6	6	paired
explicit	BenchmarkCompile/crc32	B/op	25984	26094.5	0.42526169950738435	0.07575757575757576	6	6	paired
explicit	BenchmarkCompile/crc32	allocs/op	42	42	0	1	6	6	paired
explicit	BenchmarkCompile/sha256	ns/op	91262	86069.5	-5.689662729284917	0.24025974025974026	6	6	paired
explicit	BenchmarkCompile/sha256	B/op	60208	60563.5	0.5904530959340848	0.03463203463203463	6	6	paired
explicit	BenchmarkCompile/sha256	allocs/op	49	49	0	1	6	6	paired
explicit	BenchmarkCompile/raytrace	ns/op	276817.5	212447.5	-23.25358765251474	0.025974025974025976	6	6	paired
explicit	BenchmarkCompile/raytrace	B/op	125576	125839	0.20943492387079932	0.354978354978355	6	6	paired
explicit	BenchmarkCompile/raytrace	allocs/op	89	88	-1.1235955056179803	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/regexmatch	ns/op	58369537	40460395	-30.6823437712038	0.008658008658008658	6	6	paired
explicit	BenchmarkCompile/regexmatch	B/op	1329112	1327053	-0.1549154623538107	0.03896103896103896	6	6	paired
explicit	BenchmarkCompile/regexmatch	allocs/op	1944	1943	-0.051440329218110925	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/wasm3	ns/op	15764515.5	13085150.5	-16.996177269133327	0.015151515151515152	6	6	paired
explicit	BenchmarkCompile/wasm3	B/op	419066	416360	-0.6457216762991935	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/wasm3	allocs/op	969	968	-0.10319917440660964	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/json-as	ns/op	1311734	1152150.5	-12.165843074891713	0.04112554112554113	6	6	paired
explicit	BenchmarkCompile/json-as	B/op	133208	134578	1.0284667587532326	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/json-as	allocs/op	136	135	-0.7352941176470562	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake-as	ns/op	389118.5	307904	-20.87140549729709	0.09307359307359307	6	6	paired
explicit	BenchmarkCompile/blake-as	B/op	119864	120206.5	0.2857405059066842	0.3722943722943723	6	6	paired
explicit	BenchmarkCompile/blake-as	allocs/op	89	85	-4.49438202247191	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as	ns/op	173486	153047.5	-11.781065907335464	0.025974025974025976	6	6	paired
explicit	BenchmarkCompile/utf-as	B/op	119376	120193	0.6843921726310098	0.05194805194805195	6	6	paired
explicit	BenchmarkCompile/utf-as	allocs/op	68	68	0	1	6	6	paired
explicit	BenchmarkCompile/xjb-mulhi	ns/op	28708	24747	-13.79754772188937	0.04112554112554113	6	6	paired
explicit	BenchmarkCompile/xjb-mulhi	B/op	23622	14522.5	-38.52129370925409	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/xjb-mulhi	allocs/op	23	23	0	1	6	6	paired
explicit	BenchmarkCompile/swar-pack-parse	ns/op	31897.5	28052	-12.055803746375105	0.17965367965367965	6	6	paired
explicit	BenchmarkCompile/swar-pack-parse	B/op	23727.5	13726.5	-42.14940469918871	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/swar-pack-parse	allocs/op	22	22	0	1	6	6	paired
explicit	BenchmarkCompile/json-as-simd	ns/op	1624140.5	1468809.5	-9.563889331003072	0.30952380952380953	6	6	paired
explicit	BenchmarkCompile/json-as-simd	B/op	136928	137576	0.47324141154474475	0.23376623376623376	6	6	paired
explicit	BenchmarkCompile/json-as-simd	allocs/op	152	151	-0.6578947368421018	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/blake-as-simd	ns/op	1251811.5	988767.5	-21.013067862054314	0.30952380952380953	6	6	paired
explicit	BenchmarkCompile/blake-as-simd	B/op	239168	239400	0.09700294353760519	0.23160173160173161	6	6	paired
explicit	BenchmarkCompile/blake-as-simd	allocs/op	108	107	-0.92592592592593	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/utf-as-simd	ns/op	566445	457520.5	-19.229492713326092	0.09307359307359307	6	6	paired
