goos: linux
goarch: amd64
pkg: wagobench
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
                                                                 │ /tmp/wago-pr564-HbN430/base-explicit.txt │ /tmp/wago-pr564-HbN430/candidate-explicit.txt │
                                                                 │                  sec/op                  │         sec/op          vs base               │
Compile/isa_simd_f32x4-8                                                                      369.2µ ±  26%            269.5µ ±  33%        ~ (p=0.065 n=6)
Compile/isa_simd_f64x2-8                                                                      351.2µ ±  22%            256.6µ ±  13%  -26.92% (p=0.009 n=6)
Compile/isa_simd_reduce-8                                                                    114.88µ ±  18%            92.93µ ±  61%        ~ (p=0.180 n=6)
CompileCommuteSelfUpdate/blake-as/off-8                                                       534.2µ ±  41%            325.4µ ±  26%  -39.09% (p=0.002 n=6)
CompileCommuteSelfUpdate/blake-as/on-8                                                        551.8µ ±  10%            331.6µ ±  17%  -39.91% (p=0.002 n=6)
CompileCommuteSelfUpdate/blake-as-simd/off-8                                                  1.918m ±  12%            1.071m ±   8%  -44.19% (p=0.002 n=6)
CompileCommuteSelfUpdate/blake-as-simd/on-8                                                   1.802m ±   9%            1.119m ±  10%  -37.91% (p=0.002 n=6)
CompileCommuteSelfUpdate/sqlite3/off-8                                                       116.71m ±   9%            83.04m ±  13%  -28.85% (p=0.002 n=6)
CompileCommuteSelfUpdate/sqlite3/on-8                                                        122.33m ±  17%            76.58m ±   6%  -37.40% (p=0.002 n=6)
CompileCommuteSelfUpdate/esbuild/off-8                                                        808.8m ±  10%            540.8m ±   4%  -33.13% (p=0.002 n=6)
CompileCommuteSelfUpdate/esbuild/on-8                                                         812.1m ±   6%            526.5m ±   5%  -35.18% (p=0.002 n=6)
CompileCompact/tiny-8                                                                         33.96µ ±   9%            30.86µ ±  27%        ~ (p=0.240 n=6)
CompileCompact/fib_iter-8                                                                     33.41µ ±  19%            33.31µ ±  15%        ~ (p=0.589 n=6)
CompileCompact/fib_rec-8                                                                      35.15µ ±  13%            33.46µ ±  12%        ~ (p=0.240 n=6)
CompileCompact/arith-8                                                                        38.23µ ±  12%            31.41µ ±  11%  -17.83% (p=0.004 n=6)
CompileCompact/float-8                                                                        37.34µ ±  15%            33.14µ ±  22%        ~ (p=0.093 n=6)
CompileCompact/memory-8                                                                       40.56µ ±  23%            41.06µ ±  17%        ~ (p=1.000 n=6)
CompileCompact/memory_tree-8                                                                  51.79µ ±   9%            51.18µ ±  15%        ~ (p=0.310 n=6)
CompileCompact/globals-8                                                                      40.16µ ±  17%            40.52µ ±  17%        ~ (p=0.937 n=6)
CompileCompact/dispatch-8                                                                     45.88µ ±  14%            47.74µ ±  13%        ~ (p=0.394 n=6)
CompileCompact/branches-8                                                                     31.21µ ±  12%            35.72µ ±  16%        ~ (p=0.093 n=6)
CompileCompact/many_funcs-8                                                                   443.3µ ±  10%            422.4µ ±  32%        ~ (p=0.394 n=6)
CompileCompact/linked_list-8                                                                  39.53µ ±   8%            42.96µ ±  20%   +8.69% (p=0.009 n=6)
CompileCompact/mandelbrot-8                                                                   47.74µ ±  17%            50.27µ ±  19%        ~ (p=0.937 n=6)
CompileCompact/sieve-8                                                                        46.68µ ±  18%            44.14µ ±   7%        ~ (p=0.818 n=6)
CompileCompact/nbody-8                                                                        132.8µ ±  12%            145.4µ ±  16%        ~ (p=0.310 n=6)
CompileCompact/spectralnorm-8                                                                 110.4µ ±  19%            112.8µ ±  16%        ~ (p=0.937 n=6)
CompileCompact/fannkuch-8                                                                     173.1µ ±  24%            157.1µ ±  20%        ~ (p=0.093 n=6)
CompileCompact/matmul-8                                                                      122.06µ ±  27%            91.54µ ±  63%        ~ (p=0.240 n=6)
CompileCompact/quicksort-8                                                                   116.45µ ±  21%            83.81µ ±  37%  -28.03% (p=0.026 n=6)
CompileCompact/crc32-8                                                                        74.72µ ±  19%            58.18µ ±  14%  -22.14% (p=0.026 n=6)
CompileCompact/sha256-8                                                                      137.84µ ±  26%            97.03µ ±  16%  -29.61% (p=0.004 n=6)
CompileCompact/raytrace-8                                                                     363.3µ ±  29%            250.9µ ±  23%  -30.94% (p=0.041 n=6)
CompileCompact/regexmatch-8                                                                   62.77m ±   9%            52.73m ±  44%        ~ (p=0.093 n=6)
CompileCompact/wasm3-8                                                                        17.96m ±  16%            15.85m ±  16%        ~ (p=0.065 n=6)
CompileCompact/json-as-8                                                                      1.764m ±  12%            1.435m ±  17%        ~ (p=0.065 n=6)
CompileCompact/blake-as-8                                                                     412.5µ ±  21%            312.0µ ±  13%  -24.35% (p=0.002 n=6)
CompileCompact/utf-as-8                                                                       218.8µ ±  21%            183.6µ ±  22%  -16.12% (p=0.026 n=6)
CompileCompact/xjb-mulhi-8                                                                    49.00µ ±  23%            44.87µ ±  25%        ~ (p=0.093 n=6)
CompileCompact/swar-pack-parse-8                                                              48.34µ ±  21%            42.40µ ±  11%        ~ (p=0.065 n=6)
CompileCompact/json-as-simd-8                                                                 1.860m ±  37%            1.541m ±  42%  -17.16% (p=0.041 n=6)
CompileCompact/blake-as-simd-8                                                               1032.5µ ±  18%            814.3µ ±  49%  -21.13% (p=0.041 n=6)
CompileCompact/utf-as-simd-8                                                                  641.6µ ±  16%            521.6µ ±  20%  -18.71% (p=0.009 n=6)
CompileCompact/coremark-8                                                                     590.8µ ±  24%            497.9µ ±  29%  -15.73% (p=0.041 n=6)
CompileCompact/blake3-8                                                                       985.1µ ±  49%            793.7µ ±  57%  -19.43% (p=0.041 n=6)
CompileCompact/qoi-8                                                                          227.4µ ±  12%            211.1µ ±  24%        ~ (p=0.240 n=6)
CompileCompact/lz4-8                                                                          224.5µ ±  35%            202.0µ ±  10%        ~ (p=0.180 n=6)
CompileCompact/zlib-8                                                                         1.180m ±  29%            1.093m ±  19%        ~ (p=0.132 n=6)
CompileCompact/zstd-8                                                                         4.561m ±  22%            3.719m ±  39%        ~ (p=0.093 n=6)
CompileCompact/lua-8                                                                          22.52m ±  65%            19.96m ±  12%  -11.34% (p=0.015 n=6)
CompileCompact/sqlite3-8                                                                      92.97m ±  23%            80.43m ±  10%  -13.48% (p=0.009 n=6)
CompileCompact/ruby-8                                                                        1094.3m ±   9%            878.6m ±   8%  -19.71% (p=0.002 n=6)
CompileCompact/esbuild-8                                                                      614.4m ±   9%            505.1m ±  10%  -17.80% (p=0.002 n=6)
CompileCompact/isa_i32-8                                                                      299.0µ ±  14%            223.6µ ±  38%  -25.23% (p=0.026 n=6)
CompileCompact/isa_i64-8                                                                      310.5µ ±   7%            239.3µ ±  18%  -22.94% (p=0.002 n=6)
CompileCompact/isa_f32-8                                                                      217.5µ ±  35%            169.3µ ±  40%  -22.15% (p=0.026 n=6)
CompileCompact/isa_f64-8                                                                      234.3µ ±  46%            192.1µ ±  30%        ~ (p=0.093 n=6)
CompileCompact/isa_mem-8                                                                      186.6µ ±  23%            147.8µ ±  22%  -20.82% (p=0.015 n=6)
CompileCompact/isa_bulk_mem-8                                                                 78.40µ ±  47%            72.50µ ±  33%        ~ (p=0.310 n=6)
CompileCompact/isa_ctl-8                                                                      171.6µ ±  11%            144.3µ ±  33%        ~ (p=0.065 n=6)
