status	mode	name	unit	base	candidate	delta	p	baseSamples	candidateSamples	initialDelta	initialP	confirmation
first-pass-only	signals	BenchmarkExec/isa_bulk_mem.copy_back_4096	ns/op	10494	10590	0.914808461978267	0.8181818181818182	6	6	0.914808461978267	0.8181818181818182	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_f32.add	ns/op	5138.5	5185.5	0.9146638123966211	0.8181818181818182	6	6	0.9146638123966211	0.8181818181818182	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_simd_i64x2.mul	ns/op	1642.5	1657.5	0.9132420091324311	0.6991341991341992	6	6	0.9132420091324311	0.6991341991341992	false
first-pass-only	signals	BenchmarkExec/isa_simd_i8x16.shr_u	ns/op	2037	2055.5	0.90819833087874	0.7857142857142857	6	6	0.90819833087874	0.7857142857142857	false
first-pass-only	signals	BenchmarkExecParallel/independent/many_funcs.run	ns/op	86.86500000000001	87.64	0.892189028952961	0.48484848484848486	6	6	0.892189028952961	0.48484848484848486	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_simd_i32x4.le_u	ns/op	3979.5	4015	0.8920718683251616	0.8181818181818182	6	6	0.8920718683251616	0.8181818181818182	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_simd_i16x8.avgr_u	ns/op	456.85	460.9	0.8865054175331011	0.5887445887445888	6	6	0.8865054175331011	0.5887445887445888	false
first-pass-only	signals	BenchmarkExec/isa_simd_i16x8.sub_sat_u	ns/op	3434	3464	0.873616773442043	0.48484848484848486	6	6	0.873616773442043	0.48484848484848486	false
first-pass-only	signals	BenchmarkExec/isa_simd_i32x4.max_u	ns/op	1774.5	1790	0.873485488870096	0.33116883116883117	6	6	0.873485488870096	0.33116883116883117	false
first-pass-only	signals	BenchmarkExec/isa_f64.mul	ns/op	40947.5	41303.5	0.8694059466389792	0.9372294372294372	6	6	0.8694059466389792	0.9372294372294372	false
first-pass-only	signals	BenchmarkExec/isa_simd_f64x2.lt	ns/op	3451.5	3481.5	0.8691873098652714	0.9372294372294372	6	6	0.8691873098652714	0.9372294372294372	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_i64.popcnt	ns/op	1853.5	1869.5	0.863231723765856	0.8181818181818182	6	6	0.863231723765856	0.8181818181818182	false
first-pass-only	signals	BenchmarkExec/blake-as.hashN	ns/op	659234	664922	0.8628195754466494	0.5887445887445888	6	6	0.8628195754466494	0.5887445887445888	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_simd_v128.bitselect	ns/op	4006	4040.5	0.8612081877184208	0.6991341991341992	6	6	0.8612081877184208	0.6991341991341992	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_i64.xor	ns/op	1760	1775	0.8522727272727293	0.461038961038961	6	6	0.8522727272727293	0.461038961038961	false
first-pass-only	signals	BenchmarkExec/isa_simd_f32x4.gt	ns/op	3475	3504.5	0.8489208633093437	0.974025974025974	6	6	0.8489208633093437	0.974025974025974	false
first-pass-only	signals	BenchmarkExec/isa_simd_i32x4.extend_high_s	ns/op	2004	2021	0.8483033932135786	0.5887445887445888	6	6	0.8483033932135786	0.5887445887445888	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_f32.sqrt	ns/op	15876	16010.5	0.847190728143099	0.48484848484848486	6	6	0.847190728143099	0.48484848484848486	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_simd_f64x2.pmax	ns/op	3907.5	3940.5	0.8445297504798388	0.9004329004329005	6	6	0.8445297504798388	0.9004329004329005	false
first-pass-only	signals	BenchmarkExec/isa_mem.load_i32	ns/op	7233.5	7294	0.8363862583811388	0.8181818181818182	6	6	0.8363862583811388	0.8181818181818182	false
first-pass-only	signals	BenchmarkExec/isa_simd_f32x4.trunc	ns/op	2642.5	2664.5	0.8325449385051975	0.48484848484848486	6	6	0.8325449385051975	0.48484848484848486	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_simd_f64x2.sub	ns/op	5899.5	5948.5	0.8305788626154831	0.5887445887445888	6	6	0.8305788626154831	0.5887445887445888	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_simd_i32x4.neg	ns/op	1453.5	1465.5	0.8255933952528327	0.6991341991341992	6	6	0.8255933952528327	0.6991341991341992	false
first-pass-only	signals	BenchmarkExec/isa_simd_f64x2.convert_low_i32x4_s	ns/op	2605.5	2627	0.8251775091153268	0.6601731601731602	6	6	0.8251775091153268	0.6601731601731602	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_simd_i8x16.le_u	ns/op	463.45	467.25	0.8199374258280212	0.8181818181818182	6	6	0.8199374258280212	0.8181818181818182	false
first-pass-only	signals	BenchmarkExec/isa_simd_i64x2.extmul_high_s	ns/op	6952.5	7009.5	0.8198489751887861	0.5887445887445888	6	6	0.8198489751887861	0.5887445887445888	false
first-pass-only	signals	BenchmarkExec/isa_simd_f64x2.convert_low_i32x4_u	ns/op	4366.5	4402	0.8130081300812941	0.6991341991341992	6	6	0.8130081300812941	0.6991341991341992	false
first-pass-only	signals	BenchmarkExecParallel/independent/isa_i32.sub	ns/op	1791.5	1806	0.8093776165224664	0.5887445887445888	6	6	0.8093776165224664	0.5887445887445888	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_ctl.br_table	ns/op	18942.5	19094.5	0.8024284017421168	0.48484848484848486	6	6	0.8024284017421168	0.48484848484848486	false
first-pass-only	signals	BenchmarkExec/isa_f32.abs	ns/op	41162.5	41491.5	0.7992711812936593	0.8181818181818182	6	6	0.7992711812936593	0.8181818181818182	false
first-pass-only	signals	BenchmarkExecCommuteSelfUpdate/json-as.deserializeN/off	ns/op	38695.5	39000	0.7869132069620477	0.24025974025974026	6	6	0.7869132069620477	0.24025974025974026	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_i64.rem_u	ns/op	162454	163731.5	0.7863764511800264	0.8181818181818182	6	6	0.7863764511800264	0.8181818181818182	false
first-pass-only	signals	BenchmarkExec/utf-as-simd.validateN	ns/op	149432.5	150605.5	0.7849698024191554	0.48484848484848486	6	6	0.7849698024191554	0.48484848484848486	false
first-pass-only	signals	BenchmarkExec/isa_simd_i32x4.extmul_high_s	ns/op	8684	8752	0.7830492860432914	0.48484848484848486	6	6	0.7830492860432914	0.48484848484848486	false
first-pass-only	signals	BenchmarkExec/isa_simd_f32x4.pmin	ns/op	3499.5	3526.5	0.771538791255888	0.7380952380952381	6	6	0.771538791255888	0.7380952380952381	false
first-pass-only	signals	BenchmarkExecParallel/process/isa_simd_i64x2.extmul_low_s	ns/op	7783.5	7843.5	0.7708614376565892	0.30952380952380953	6	6	0.7708614376565892	0.30952380952380953	false
