bounds	benchmark	unit	main	fixed	delta_percent	p
signals	BenchmarkExecParallel/process/raytrace.render	B/op	7.5	8	6.666666666666665	0.8181818181818182
signals	BenchmarkExecParallel/process/isa_i64.rem_u	B/op	7.5	8	6.666666666666665	0.9783549783549783
explicit	BenchmarkCompileWorkers/esbuild/p8	allocs/op	24395.5	25955	6.392572400647656	0.025974025974025976
signals	BenchmarkCompileFullWorkers/json-as/p4	allocs/op	678	720	6.194690265486735	0.004329004329004329
signals	BenchmarkCompileFullWorkers/json-as/auto	allocs/op	678	719.5	6.12094395280236	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/auto	allocs/op	704.5	747	6.0326472675656495	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/p4	allocs/op	703.5	745.5	5.970149253731338	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/json-as/auto	allocs/op	504.5	533	5.649157581764119	0.0021645021645021645
explicit	BenchmarkValidateWorkers/esbuild/p4	B/op	4247488	4481916	5.519215121973264	0.025974025974025976
signals	BenchmarkCompileMultiModuleThroughput/json-as/auto	allocs/op	499.5	525.5	5.205205205205199	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/esbuild/p4	allocs/op	26672	27975.5	4.887147570485895	0.30952380952380953
explicit	BenchmarkCompileWorkers/lua/p8	allocs/op	2204	2308.5	4.741379310344818	0.0021645021645021645
signals	BenchmarkCompileWorkers/lua/p8	allocs/op	2212	2311.5	4.498191681735975	0.0021645021645021645
explicit	BenchmarkCompileWorkers/esbuild/p2	allocs/op	13806.5	14415.5	4.410965849418758	0.6991341991341992
explicit	BenchmarkCompileFullWorkers/json-as/p2	allocs/op	547	569.5	4.113345521023759	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p2	allocs/op	536.5	558	4.007455731593668	0.0021645021645021645
explicit	BenchmarkExecParallel/independent/nbody.step	B/op	25	26	4.0000000000000036	1
signals	BenchmarkCompileWorkers/lua/p4	allocs/op	1481	1537.5	3.8149898717082964	0.0021645021645021645
explicit	BenchmarkCompileWorkers/lua/p4	allocs/op	1483.5	1536.5	3.572632288506905	0.0021645021645021645
explicit	BenchmarkCompileWorkers/esbuild/p4	allocs/op	18934.5	19512.5	3.0526287992817425	0.3939393939393939
explicit	BenchmarkCompileWorkers/sqlite3/p8	allocs/op	4488	4625	3.0525846702317283	0.0021645021645021645
signals	BenchmarkCompileWorkers/sqlite3/p8	allocs/op	4486	4617	2.920196165849309	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/p1	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/tiny/auto	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/p1	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/tiny/auto	allocs/op	73	75	2.7397260273972712	0.0021645021645021645
explicit	BenchmarkCompileFull/tiny	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
explicit	BenchmarkCompileFull/branches	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
signals	BenchmarkCompileFull/tiny	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
signals	BenchmarkCompileFull/branches	allocs/op	74	76	2.7027027027026973	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/lua/p8	allocs/op	4067.5	4176	2.6674861708666286	0.0021645021645021645
explicit	BenchmarkCompileFull/fib_iter	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
explicit	BenchmarkCompileFull/arith	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
signals	BenchmarkCompileFull/fib_iter	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
signals	BenchmarkCompileFull/arith	allocs/op	75	77	2.6666666666666616	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/lua/p8	allocs/op	4001	4105	2.5993501624593796	0.0021645021645021645
explicit	BenchmarkCompileFull/float	allocs/op	79	81	2.5316455696202445	0.0021645021645021645
signals	BenchmarkCompileFull/float	allocs/op	79	81	2.5316455696202445	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/p2	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/p4	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/p8	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/fib_rec/auto	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p2	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p4	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/p8	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/fib_rec/auto	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
signals	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	allocs/op	82	84	2.4390243902439046	0.0021645021645021645
explicit	BenchmarkCompileWorkers/lua/p2	allocs/op	1051.5	1077	2.4251069900142586	0.0021645021645021645
explicit	BenchmarkCompileFull/fib_rec	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
explicit	BenchmarkCompileFull/many_funcs	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
signals	BenchmarkCompileFull/fib_rec	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
signals	BenchmarkCompileFull/many_funcs	allocs/op	83	85	2.4096385542168752	0.0021645021645021645
explicit	BenchmarkValidateWorkers/esbuild/p8	B/op	5576520.5	5710344	2.3997670231822976	0.24025974025974026
signals	BenchmarkCompileFull/linked_list	allocs/op	87	89	2.298850574712641	0.0021645021645021645
