goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkExec/polybench-deriche.polybench_run-16     	     100	    452462 ns/op	         5.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-doitgen.polybench_run-16     	     100	    337076 ns/op	         7.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-durbin.polybench_run-16      	     100	     11009 ns/op	       183.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-fdtd-2d.polybench_run-16     	     100	    647791 ns/op	         4.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-floyd-warshall.polybench_run-16         	     100	   4998752 ns/op	         1.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gemm.polybench_run-16                   	     100	    249124 ns/op	         9.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gemver.polybench_run-16                 	     100	     47905 ns/op	        44.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gesummv.polybench_run-16                	     100	     41863 ns/op	        49.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gramschmidt.polybench_run-16            	     100	    371514 ns/op	         6.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-heat-3d.polybench_run-16                	     100	    864664 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-jacobi-1d.polybench_run-16              	     100	      8213 ns/op	       245.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-jacobi-2d.polybench_run-16              	     100	    734326 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-lu.polybench_run-16                     	     100	   1472614 ns/op	         2.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-ludcmp.polybench_run-16                 	     100	   1434131 ns/op	         2.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-mvt.polybench_run-16                    	     100	     35435 ns/op	        57.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-nussinov.polybench_run-16               	     100	    928367 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-seidel-2d.polybench_run-16              	     100	   3823497 ns/op	         1.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-symm.polybench_run-16                   	     100	    217462 ns/op	        10.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-syr2k.polybench_run-16                  	     100	    313047 ns/op	         7.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-syrk.polybench_run-16                   	     100	    194655 ns/op	        11.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-trisolv.polybench_run-16                	     100	     13175 ns/op	       156.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-trmm.polybench_run-16                   	     100	    158149 ns/op	        13.00 calls/batch	       0 B/op	       0 allocs/op
PASS
