group,workload,wago_ns_per_op,wazero_ns_per_op,wago_over_wazero,wago_bytes_per_op,wago_allocs_per_op,wago_calls_per_batch
BenchmarkExec,polybench-doitgen.polybench_run,327441.0,646005.0,0.5068706898553417,0.0,0.0,7.0
BenchmarkExec,polybench-jacobi-1d.polybench_run,8160.0,16306.0,0.5004292898319637,0.0,0.0,250.0
BenchmarkExec,polybench-2mm.polybench_run,232782.0,478447.0,0.48653664878241476,0.0,0.0,9.0
BenchmarkExec,polybench-lu.polybench_run,1425652.0,2938238.0,0.48520644005012525,0.0,0.0,2.0
BenchmarkExec,polybench-3mm.polybench_run,371785.0,784674.0,0.47380823118900334,0.0,0.0,6.0
BenchmarkExec,polybench-syrk.polybench_run,194305.0,426499.0,0.4555813729926682,0.0,0.0,11.0
BenchmarkExec,polybench-fdtd-2d.polybench_run,634028.0,1423209.0,0.4454918427300558,0.0,0.0,4.0
BenchmarkExec,polybench-gemver.polybench_run,47705.0,110957.0,0.4299413286227998,0.0,0.0,44.0
BenchmarkExec,memory_tree.run,9040.0,21144.0,0.42754445705637534,0.0,0.0,229.0
BenchmarkExec,qoi.qoi_decode_run,5730.0,13576.0,0.4220683559222157,0.0,0.0,351.0
BenchmarkExec,fib_rec.fib,878486.0,2088390.0,0.42065227280345147,0.0,0.0,3.0
BenchmarkExec,polybench-mvt.polybench_run,34504.0,82670.0,0.4173702673279303,0.0,0.0,61.0
BenchmarkExec,polybench-trisolv.polybench_run,12928.0,31528.0,0.41004821111393047,0.0,0.0,154.0
BenchmarkExec,polybench-syr2k.polybench_run,303640.0,747874.0,0.40600421996218616,0.0,0.0,7.0
BenchmarkExec,polybench-heat-3d.polybench_run,857210.0,2173955.0,0.39430898983649615,0.0,0.0,3.0
BenchmarkExec,lz4.lz4_decompress_run,2158.0,5480.0,0.3937956204379562,0.0,0.0,953.0
BenchmarkExec,polybench-gemm.polybench_run,244056.0,632425.0,0.3859050480294106,0.0,0.0,8.0
BenchmarkExec,polybench-symm.polybench_run,207132.0,539965.0,0.38360264091191093,0.0,0.0,11.0
BenchmarkExec,polybench-jacobi-2d.polybench_run,726619.0,2050688.0,0.3543293762873728,0.0,0.0,3.0
BenchmarkExec,matmul.run,80671.0,307276.0,0.2625359611554433,0.0,0.0,25.0
BenchmarkCompileFull,blake-as-simd,1291939.0,2550976.0,0.5064489042625254,538310.0,275.0,1
BenchmarkCompileFull,blake-as,446820.0,911679.0,0.4901067151925184,217859.0,237.0,1
BenchmarkCompileFull,blake3,1169753.0,2520895.0,0.46402289662996676,327277.0,278.0,1
BenchmarkCompileFull,many_funcs,439900.0,1073562.0,0.4097574243499677,179330.0,94.0,1
BenchmarkCompileFull,dispatch,35108.0,88579.0,0.39634676390566614,40400.0,150.0,1
BenchmarkCompileFull,utf-as,292898.0,754280.0,0.38831468420215304,245243.0,175.0,1
BenchmarkCompileFull,embench-crc32,58590.0,151945.0,0.3856000526506302,49696.0,152.0,1
BenchmarkCompileFull,memory_tree,41683.0,109224.0,0.38162857979931153,27944.0,135.0,1
BenchmarkCompileFull,embench-nettle-sha256,393940.0,1056872.0,0.372741448349469,330365.0,196.0,1
BenchmarkCompileFull,utf-as-simd,772357.0,2116534.0,0.36491594276302675,349491.0,269.0,1
BenchmarkCompileFull,monocypher,1077359.0,3219919.0,0.33459195712687184,443716.0,230.0,1
BenchmarkCompileFull,utf8proc,1690752.0,5174166.0,0.32676802406416805,798168.0,283.0,1
BenchmarkCompileFull,fib_rec,20199.0,67874.0,0.29759554468574123,35176.0,116.0,1
BenchmarkCompileFull,tiny,20198.0,67977.0,0.29712991158774293,18384.0,100.0,1
BenchmarkCompileFull,xxhash,143272.0,489150.0,0.29289992844730656,105657.0,140.0,1
