goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkExec/polybench-deriche.polybench_run-16     	     100	    444202 ns/op	         5.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-doitgen.polybench_run-16     	     100	    322402 ns/op	         7.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-durbin.polybench_run-16      	     100	     10986 ns/op	       189.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-fdtd-2d.polybench_run-16     	     100	    641823 ns/op	         4.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-floyd-warshall.polybench_run-16         	     100	   4930007 ns/op	         1.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gemm.polybench_run-16                   	     100	    257149 ns/op	         9.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gemver.polybench_run-16                 	     100	     47277 ns/op	        45.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gesummv.polybench_run-16                	     100	     40698 ns/op	        49.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-gramschmidt.polybench_run-16            	     100	    379202 ns/op	         6.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-heat-3d.polybench_run-16                	     100	    859113 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-jacobi-1d.polybench_run-16              	     100	      8058 ns/op	       262.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-jacobi-2d.polybench_run-16              	     100	    719704 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-lu.polybench_run-16                     	     100	   1460107 ns/op	         2.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-ludcmp.polybench_run-16                 	     100	   1437646 ns/op	         2.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-mvt.polybench_run-16                    	     100	     33801 ns/op	        61.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-nussinov.polybench_run-16               	     100	    922937 ns/op	         3.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-seidel-2d.polybench_run-16              	     100	   3724584 ns/op	         1.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-symm.polybench_run-16                   	     100	    216930 ns/op	        10.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-syr2k.polybench_run-16                  	     100	    303737 ns/op	         8.000 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-syrk.polybench_run-16                   	     100	    189943 ns/op	        12.00 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-trisolv.polybench_run-16                	     100	     13022 ns/op	       158.0 calls/batch	       0 B/op	       0 allocs/op
BenchmarkExec/polybench-trmm.polybench_run-16                   	     100	    171598 ns/op	        12.00 calls/batch	       0 B/op	       0 allocs/op
PASS
