goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-reuse-16      	    1000	      5442 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-reuse-16      	    1000	      6325 ns/op	         1.000 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     16707 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     16882 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     19770 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     17487 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     17039 ns/op	         2.016 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     17434 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     16698 ns/op	         2.001 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     17016 ns/op	         2.013 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     16955 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/guard-fresh-16      	    1000	     16973 ns/op	         2.000 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       599.2 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       797.2 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	      1613 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       543.2 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       797.2 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       805.8 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       789.5 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       797.8 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	      1053 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=4096/explicit-reuse-16   	    1000	       545.3 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     25985 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     24633 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     24252 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     23307 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     23303 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     25039 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=1/data=65536/guard-reuse-16     	    1000	     24092 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
