goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=4-16         	   32142	      3754 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=4-16         	   32350	      3673 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=4-16         	   32857	      3713 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   31585	      3734 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   31545	      3746 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   31177	      3705 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   31366	      3771 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   31808	      3719 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   31347	      3628 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   30598	      3800 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   30754	      3728 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   30870	      3764 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/validate/requested=8-16         	   28470	      3731 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    2576 B/op	      17 allocs/op
