goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/many_funcs/single/full-16       	     390	    335605 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  287399 B/op	     154 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/single/full-16       	     400	    339309 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  287400 B/op	     154 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2107	     78630 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  305334 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    1621	     82149 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  303996 B/op	     149 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2101	     79818 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  305093 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2180	     77055 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  304659 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2109	     78506 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  305204 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2166	     79441 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  304927 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2205	     80199 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  304929 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2266	     79509 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  305446 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2203	     79458 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  305123 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2246	     79106 ns/op	      2053 body-bytes	         4.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  304984 B/op	     148 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1022745 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  611460 B/op	     654 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1001978 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  611596 B/op	     653 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     117	    991912 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  610636 B/op	     653 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1036626 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  611398 B/op	     653 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1001955 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  610895 B/op	     654 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1027958 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  613365 B/op	     654 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1026592 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  610275 B/op	     653 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1045226 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  609418 B/op	     653 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     100	   1020416 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  611947 B/op	     653 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	     120	   1017949 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  612323 B/op	     653 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     639	    234109 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  614551 B/op	     507 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     675	    235947 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  615345 B/op	     510 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     699	    233363 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  616623 B/op	     510 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     664	    242471 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  614992 B/op	     505 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     691	    234283 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  616862 B/op	     515 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     674	    234618 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  615701 B/op	     508 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     640	    232881 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  614877 B/op	     506 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     672	    230882 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  614999 B/op	     504 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     616	    216387 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  612301 B/op	     498 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/concurrent/full-16                	     675	    232418 ns/op	     16651 body-bytes	         4.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  613454 B/op	     506 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      14	   8527646 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3921441 B/op	    2163 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      13	   8798902 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3884440 B/op	    2157 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      13	   8682041 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3927513 B/op	    2167 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      14	   8728003 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3920487 B/op	    2157 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      13	   8756986 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3927601 B/op	    2163 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      13	   8656724 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3912553 B/op	    2155 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      13	   8508975 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3918403 B/op	    2158 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      12	   8820648 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3914130 B/op	    2160 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      13	   9058657 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3924322 B/op	    2161 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/single/full-16                        	      14	   8975174 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3923065 B/op	    2164 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      64	   2216045 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3989602 B/op	    1909 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      68	   2107206 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 3994393 B/op	    1913 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      63	   2035999 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4099643 B/op	    1868 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      69	   2077193 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4023483 B/op	    1889 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      60	   2013508 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4291845 B/op	    1835 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      67	   2182239 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4094197 B/op	    1900 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      63	   2074345 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4093773 B/op	    1893 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      63	   1976532 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4030317 B/op	    1840 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      62	   2012653 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4158474 B/op	    1872 allocs/op
BenchmarkWorkerLifecycleDiagnostic/lua/concurrent/full-16                    	      66	   2216269 ns/op	    176047 body-bytes	         4.000 effective-workers	       359.0 functions	     20934 largest-body-bytes	 4079235 B/op	    1876 allocs/op
