goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/many_funcs/single/full-16       	     283	    446654 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179193 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/single/full-16       	     273	    443835 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179193 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2150	     69387 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179189 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2127	     70741 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179189 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    1663	     69553 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179189 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2052	     70729 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179189 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2078	     74152 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179189 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2132	     71899 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179189 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2227	     68449 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179188 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    1786	     66059 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179188 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2284	     68147 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179190 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/many_funcs/concurrent/full-16             	    2155	     68782 ns/op	      2053 body-bytes	         1.000 effective-workers	       301.0 functions	        17.00 largest-body-bytes	  179189 B/op	      93 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      72	   1543541 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306260 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      74	   1533355 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306259 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      72	   1533335 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306260 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      74	   1523477 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306259 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      75	   1554529 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306254 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      78	   1544353 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306257 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      75	   1541528 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306258 B/op	     407 allocs/op
BenchmarkWorkerLifecycleDiagnostic/json-as/single/full-16                    	      73	   1555573 ns/op	     16651 body-bytes	         1.000 effective-workers	        43.00 functions	      2445 largest-body-bytes	  306259 B/op	     407 allocs/op
