goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    190700 ns/op	    2808 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/FirstCompiled-16     	     100	    176512 ns/op	    2783 B/op	      26 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     96687 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     85464 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     86732 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     94607 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     84317 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     98569 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     89417 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     95808 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     93204 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Instantiate-16       	     100	     88756 ns/op	    1336 B/op	       5 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     23285 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22868 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     21854 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     23957 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22412 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     21387 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     21723 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     23298 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22857 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Close-16             	     100	     22706 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    106974 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    112908 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    113014 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    113040 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    106260 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    112300 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    112343 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    114642 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    106496 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/utf8proc/Lifecycle-16         	     100	    111259 ns/op	    1464 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     24833 ns/op	    1572 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     24855 ns/op	    1572 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     25158 ns/op	    1572 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     25600 ns/op	    1572 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     24807 ns/op	    1570 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     25510 ns/op	    1570 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     26030 ns/op	    1572 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     27027 ns/op	    1572 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     26235 ns/op	    1572 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/FirstCompiled-16       	     100	     27197 ns/op	    1570 B/op	       6 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      4327 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      4191 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      3534 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      3880 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      4234 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      3961 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      3934 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      4791 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      3632 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Instantiate-16         	     100	      3814 ns/op	    1280 B/op	       3 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      4960 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      5225 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      4649 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      4811 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      4844 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      4062 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      9119 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      4916 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      4175 ns/op	     128 B/op	       1 allocs/op
BenchmarkInstanceLifecycleDiagnostic/xxhash/Close-16               	     100	      5313 ns/op	     128 B/op	       1 allocs/op
