goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Lifecycle-16           	    1000	     31654 ns/op	   37472 B/op	     443 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Lifecycle-16           	    1000	     29198 ns/op	   37472 B/op	     443 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Lifecycle-16           	    1000	     29212 ns/op	   37472 B/op	     443 allocs/op
BenchmarkCommandLifecycleDiagnostic/minimal-wasi/Lifecycle-16           	    1000	     26978 ns/op	   37472 B/op	     443 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     17819 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     16168 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     15423 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     15362 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     16147 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     15534 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     16936 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     15360 ns/op	   32653 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     16991 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Imports-16                    	    1000	     17007 ns/op	   32648 B/op	     374 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     10751 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     11735 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     10983 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     11231 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     10941 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     12083 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     11045 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     11167 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     11413 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Instantiate-16                	    1000	     11299 ns/op	    5128 B/op	      82 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7976 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7005 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7282 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7462 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7166 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7523 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7345 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7085 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7196 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/LookupExecute-16              	    1000	      7414 ns/op	     240 B/op	       2 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8416 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8580 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8212 ns/op	     384 B/op	       7 allocs/op
BenchmarkCommandLifecycleDiagnostic/cjson/Close-16                      	    1000	      8283 ns/op	     384 B/op	       7 allocs/op
