# draglinecompare raw v1
# target compat
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_i64.xor/dragline-16         	 1220580	       493.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shl/railshot-16         	   41007	     14604 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shl/dragline-16         	  320698	      1863 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_s/railshot-16       	   40776	     14590 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_s/dragline-16       	  325648	      1844 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_u/railshot-16       	   41044	     14601 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_u/dragline-16       	  325101	      1846 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotl/railshot-16        	   20562	     29166 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotl/dragline-16        	21885828	        28.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotr/railshot-16        	   41144	     14595 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotr/dragline-16        	21808104	        27.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_s/railshot-16       	    4563	    131294 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_s/dragline-16       	   36586	     16381 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_u/railshot-16       	    4572	    131148 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_u/dragline-16       	   36543	     16389 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_s/railshot-16       	    3154	    189451 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_s/dragline-16       	   25233	     23813 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_u/railshot-16       	    3157	    189589 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_u/dragline-16       	   25251	     23747 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.clz/railshot-16         	   40370	     14873 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.clz/dragline-16         	  307684	      1939 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.ctz/railshot-16         	   26684	     22468 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.ctz/dragline-16         	  208812	      2868 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.popcnt/railshot-16      	    5287	    113063 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.popcnt/dragline-16      	   10000	     53368 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eqz/railshot-16     	   72290	      8315 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eqz/dragline-16     	   77134	      7785 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eq/railshot-16      	   71475	      8425 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eq/dragline-16      	   77108	      7768 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ne/railshot-16      	   70846	      8483 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ne/dragline-16      	   77014	      7781 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_s/railshot-16    	   70640	      8493 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_s/dragline-16    	   76786	      7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_u/railshot-16    	   70626	      8483 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_u/dragline-16    	   77163	      7788 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_s/railshot-16    	   70564	      8499 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_s/dragline-16    	   77218	      7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_u/railshot-16    	   71574	      8454 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_u/dragline-16    	   77074	      7777 ns/op	       0 B/op	       0 allocs/op
