# draglinecompare raw v1
# target native
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_i64.xor/dragline-16         	 1000000	       503.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shl/railshot-16         	   41002	     14645 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shl/dragline-16         	  321702	      1865 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_s/railshot-16       	   41121	     14595 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_s/dragline-16       	  326079	      1844 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_u/railshot-16       	   41137	     14620 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.shr_u/dragline-16       	  322576	      1848 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotl/railshot-16        	   20560	     29156 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotl/dragline-16        	21477534	        28.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotr/railshot-16        	   41115	     14598 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rotr/dragline-16        	21382560	        28.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_s/railshot-16       	    4567	    131357 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_s/dragline-16       	   36576	     16396 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_u/railshot-16       	    4579	    131115 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.div_u/dragline-16       	   36517	     16393 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_s/railshot-16       	    3165	    189515 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_s/dragline-16       	   25285	     23748 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_u/railshot-16       	    3158	    189416 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.rem_u/dragline-16       	   25248	     23739 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.clz/railshot-16         	   40420	     14868 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.clz/dragline-16         	  309417	      1977 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.ctz/railshot-16         	   26652	     22473 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.ctz/dragline-16         	  209118	      2869 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.popcnt/railshot-16      	    5289	    113156 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_i64.popcnt/dragline-16      	   10000	     53378 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eqz/railshot-16     	   71150	      8468 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eqz/dragline-16     	   77094	      7784 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eq/railshot-16      	   70533	      8561 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.eq/dragline-16      	   77234	      7772 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ne/railshot-16      	   70084	      8593 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ne/dragline-16      	   77248	      7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_s/railshot-16    	   69498	      8608 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_s/dragline-16    	   77126	      7789 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_u/railshot-16    	   69873	      8592 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.lt_u/dragline-16    	   77214	      7777 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_s/railshot-16    	   70035	      8608 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_s/dragline-16    	   77192	      7771 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_u/railshot-16    	   70087	      8581 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.gt_u/dragline-16    	   77252	      7776 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_s/railshot-16    	   69819	      8563 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_s/dragline-16    	   76849	      7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_u/railshot-16    	   70555	      8551 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.le_u/dragline-16    	   77179	      7804 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_s/railshot-16    	   70579	      8573 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_s/dragline-16    	   77023	      7793 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_u/railshot-16    	   69662	      8599 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i32.ge_u/dragline-16    	   77227	      7764 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eqz/railshot-16     	   69302	      8619 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eqz/dragline-16     	   76881	      7793 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eq/railshot-16      	   70196	      8644 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.eq/dragline-16      	   77160	      7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ne/railshot-16      	   69404	      8657 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ne/dragline-16      	   77284	      7771 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_s/railshot-16    	   69154	      8582 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_s/dragline-16    	   77266	      7772 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_u/railshot-16    	   69871	      8601 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.lt_u/dragline-16    	   76701	      7777 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_s/railshot-16    	   70002	      8618 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_s/dragline-16    	   77211	      7777 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_u/railshot-16    	   69984	      8632 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.gt_u/dragline-16    	   76407	      7785 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_s/railshot-16    	   69628	      8636 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_s/dragline-16    	   76834	      7766 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_u/railshot-16    	   69741	      8654 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.le_u/dragline-16    	   77239	      7778 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_s/railshot-16    	   69278	      8649 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_s/dragline-16    	   76948	      7785 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_u/railshot-16    	   69249	      8665 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_i64.ge_u/dragline-16    	   77221	      7781 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.add/railshot-16         	   19790	     30270 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.add/dragline-16         	  141838	      4192 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sub/railshot-16         	   19837	     30265 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sub/dragline-16         	  146892	      4107 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.mul/railshot-16         	   13436	     44637 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.mul/dragline-16         	  102772	      5836 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.div/railshot-16         	    5110	    116594 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.div/dragline-16         	   41102	     14609 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.min/railshot-16         	   20560	     29211 ns/op	       0 B/op	       0 allocs/op
